Brand,Model Name,Model Image,Technology,2G bands,3G bands,4G bands,Speed,Announced,Status,Dimensions,Weight,SIM,Type,Size,Resolution,OS,Chipset,CPU,GPU,Card slot,Internal,Triple,Features,Video,Single,Video_1,Loudspeaker,3.5mm jack,,WLAN,Bluetooth,GPS,Radio,USB,Sensors,_1,Colors,Price,Models,Dual,Features_1,Single_1,_1_1,5G,Build,Protection,NFC,Charging,Dual or Triple,Performance,Display,Camera,Loudspeaker_1,Audio quality,Battery life,GPRS,EDGE,Stand-by,SAR,SAR EU,Talk time,Infrared port,Phonebook,Call records,Messaging,Games,Java,Keyboard,Browser,Music play,Alert types,Languages,Clock,Alarm
lg,LG KM500,https://fdn2.gsmarena.com/vv/bigpic/lg-km500.jpg,GSM,GSM 900 / 1800 / 1900,,,,"2008, February. Released 2008, March",Discontinued,101.5 x 48 x 15 mm (4.00 x 1.89 x 0.59 in),155 (5.47 oz),Mini-SIM,"TFT, 256K colors","2.0 inches, 12.4 cm2 (~25.4% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~200 ppi density)",,,,,microSD (dedicated slot),50 MB,,LED flash,Yes,2 MP,,Yes,Yes,GSM 850 / 1800 / 1900 - American version,No,2.0,No,No,Proprietary,,Downloadable wallpapers,Black,About 70 EUR,,,,,Removable Li-Ion 800 mAh battery (LGIP-300G),,,,,,,,,,,,,Class 10,Class 10,Up to 250 h,,0.59 W/kg (head),Up to 3 h,,"1000 entries, Photo call","40 dialed, 40 received, 40 missed calls","SMS, MMS",Yes,"Yes, MIDP 2.0",,WAP 2.0/xHTML,,"Vibration; Downloadable polyphonic, MP3 ringtones",,,
lg,LG KM386,https://fdn2.gsmarena.com/vv/bigpic/lg-km386.jpg,GSM,GSM 900 / 1800 / 1900,,,,"2008, May. Released 2008",Discontinued,108 x 48 x 13 mm (4.25 x 1.89 x 0.51 in),79 g (2.79 oz),Mini-SIM,"TFT, 256K colors","1.7 inches, 8.9 cm2 (~17.3% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~235 ppi density)",,,,,microSD (dedicated slot),32 MB,,,Yes,1.3 MP,,Yes,Yes,Downloadable wallpapers,No,"2.0, A2DP",No,FM radio,2.0,,No,White,About 60 EUR,,,,,Removable Li-Ion 800 mAh battery,,,,,,,,,,,,,Class 10,No,Up to 250 h,,,Up to 3 h,,"1000 entries, Photocall","40 dialed, 40 received, 40 missed calls","SMS, MMS, Email",Yes,"Yes, MIDP 2.0",,WAP 2.0/xHTML,,"Vibration; Downloadable polyphonic, MP3 ringtones",,,
lg,LG KM380,https://fdn2.gsmarena.com/vv/bigpic/lg-km380.jpg,GSM,GSM 900 / 1800 / 1900,,,,"2008, June. Released 2008, July",Discontinued,108 x 48 x 13 mm (4.25 x 1.89 x 0.51 in),79 g (2.79 oz),Mini-SIM,"TFT, 256K colors","2.0 inches, 12.4 cm2 (~23.9% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~200 ppi density)",,,,,"microSD, up to 32 GB (dedicated slot), 512 MB  included",40 MB,,,No,1.3 MP,,Yes,Yes,Downloadable wallpapers,No,2.0,No,FM radio,2.0,,No,Black,About 70 EUR,,,,,Removable Li-Ion 800 mAh battery,,,,,,,,,,,,,Class 10,No,Up to 250 h,,,Up to 3 h,,"1000 entries, Photocall","40 dialed, 40 received, 40 missed calls","SMS, EMS, MMS, Email",Yes,"Yes, MIDP 2.0",,WAP 2.0/xHTML,,"Vibration; Downloadable polyphonic, MP3 ringtones",,,
lg,LG KM338,https://fdn2.gsmarena.com/vv/bigpic/lg-km338.jpg,GSM,GSM 900 / 1800 / 1900,,,,"2008, February. Released 2008",Discontinued,108 x 46 x 12.9 mm (4.25 x 1.81 x 0.51 in),,Mini-SIM,"TFT, 256K colors","2.0 inches, 12.4 cm2 (~24.9% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~200 ppi density)",,,,,microSD (dedicated slot),40 MB,,,No,1.3 MP,,Yes,No,Downloadable wallpapers,No,2.0,No,FM radio,2.0,,No,,,,,,,Removable Li-Ion 800 mAh battery,,,,,,,,,,,,,Class 10,No,,,,,,"Yes, Photocall","40 dialed, 40 received, 40 missed calls","SMS, EMS, MMS, Email",Yes,"Yes, MIDP 2.0",,WAP 2.0/xHTML,,"Vibration; Downloadable polyphonic, MP3 ringtones",,,
lg,LG KG375,https://fdn2.gsmarena.com/vv/bigpic/lg-kg375.jpg,GSM,GSM 900 / 1800,,,,"2007, December. Released 2008",Discontinued,85 x 45 x 19.8 mm (3.35 x 1.77 x 0.78 in),68 g (2.40 oz),Mini-SIM,"TFT, 65K colors",,"128 x 128 pixels, 1:1 ratio",,,,,No,,,,,,,No,No,No,No,No,No,No,No,,Predictive text input Organizer,"Black, orange",About 90 EUR,,,,,Removable Li-Ion 750 mAh battery,,,,,,,,,,,,,No,No,Up to 400 h,1.16 W/kg (head)     0.36 W/kg (body),,Up to 4 h,,500 entries,"20 dialed, 10 received, 10 missed calls",SMS,Yes,No,,No,,Vibration; Downloadable polyphonic ringtones,,,
lg,LG KP235,https://fdn2.gsmarena.com/vv/bigpic/lg-kp235.jpg,GSM,GSM 900 / 1800,,,,"2008, February. Released 2008",Discontinued,89 x 46.5 x 17.9 mm (3.50 x 1.83 x 0.70 in),81 g (2.86 oz),Mini-SIM,"TFT, 65K colors","1.7 inches, 9.1 cm2 (~22.0% screen-to-body ratio)",128 x 160 pixels (~121 ppi density),,,,,No,5 MB,,,No,VGA,,Yes,No,"Second external 65K color TFT display(96 x 64 pixels), 1.1 inches",No,2.0,No,No,No,,No,,About 50 EUR,,,,,Removable Li-Ion 830 mAh battery,,,,,,,,,,,,,Yes,No,,0.93 W/kg (head)     0.89 W/kg (body),,,,"Yes, Photocall","10 dialed, 10 received, 10 missed calls","SMS, EMS, MMS",Yes,"Yes, MIDP 2.0",,WAP 2.0/xHTML,,Vibration; Downloadable polyphonic ringtones,,,
lg,LG KP220,https://fdn2.gsmarena.com/vv/bigpic/lg-kp220.jpg,GSM,GSM 900 / 1800 / 1900,,,,"2008, May. Released 2008",Discontinued,103 x 46 x 12 mm (4.06 x 1.81 x 0.47 in),72 g (2.54 oz),Mini-SIM,"TFT, 256K colors","1.7 inches, 8.9 cm2 (~18.9% screen-to-body ratio)","120 x 160 pixels, 4:3 ratio (~118 ppi density)",,,,,microSD (dedicated slot),60 MB,,,Yes,1.3 MP,,Yes,No,No,No,"2.0, A2DP",No,FM radio,Proprietary,,Music dedicated key MP3/MP4 player Predictive text input Organizer Voice memo,Silver,About 50 EUR,,,,,Removable Li-Ion 750 mAh battery,,,,,,,,,,,,,Class 10,Yes,Up to 300 h,0.91 W/kg (head)     0.79 W/kg (body),,Up to 3 h,,"Yes, Photocall","10 dialed, 10 received, 10 missed calls","SMS, EMS, MMS",Yes,"Yes, MIDP 2.0",,WAP 2.0/xHTML,,"Vibration; Downloadable polyphonic, MP3 ringtones",,,
lg,LG KP215,https://fdn2.gsmarena.com/vv/bigpic/lg-kp215.jpg,GSM,GSM 900 / 1800,,,,"2008, April. Released 2008, September",Discontinued,89 x 46.5 x 18 mm (3.50 x 1.83 x 0.71 in),78 g (2.75 oz),Mini-SIM,"TFT, 256K colors","1.77 inches, 9.9 cm2 (~23.8% screen-to-body ratio)",128 x 160 pixels (~116 ppi density),,,,,microSD (dedicated slot),,,,Yes,VGA,,Yes,No,Second external 65K color CSTN display (96 x 64 pixels),No,No,No,FM radio,Proprietary,,No,Black,About 70 EUR,,,,,Removable Li-Ion 900 mAh battery,,,,,,,,,,,,,Class 10,No,Up to 250 h,,,Up to 3 h,,"1000 entries, Photocall","10 dialed, 10 received, 10 missed calls","SMS, EMS, MMS",Yes,"Yes, MIDP 2.0",,WAP 2.0/xHTML,,Vibration; Downloadable polyphonic ringtones,,,
lg,LG KP210,https://fdn2.gsmarena.com/vv/bigpic/lg-kp210.jpg,GSM,GSM 850 / 1900,,,,"2008, February. Released 2008",Discontinued,89 x 46.5 x 18 mm (3.50 x 1.83 x 0.71 in),80 g (2.82 oz),Mini-SIM,"TFT, 256K colors","1.0 inches, 3.1 cm2 (~7.6% screen-to-body ratio)",128 x 160 pixels (~205 ppi density),,,,,No,,,,Yes,VGA,,Yes,No,Second external 65K color CSTN display (96 x 64 pixels),No,No,No,No,Proprietary,,No,Silver,About 60 EUR,,,,,Removable Li-Ion battery,,,,,,,,,,,,,Class 10,No,Up to 250 h,,,Up to 4 h 20 min,,"1000 entries, Photocall","10 dialed, 10 received, 10 missed calls","SMS, MMS",Yes,"Yes, MIDP 2.0",,WAP 2.0/xHTML,,Vibration; Downloadable polyphonic ringtones,,,
lg,LG KP130,https://fdn2.gsmarena.com/vv/bigpic/lg-kp130.jpg,GSM,GSM 900 / 1800,,,,"2008, February. Released 2008",Discontinued,99.8 x 45.3 x 13.4 mm (3.93 x 1.78 x 0.53 in),,Mini-SIM,"TFT, 65K colors","1.5 inches, 7.3 cm2 (~16.1% screen-to-body ratio)","128 x 128 pixels, 1:1 ratio (~121 ppi density)",,,,,No,1 MB,,,No,VGA,,No,No,No,No,No,No,No,No,,Predictive text input Organizer Voice memo,,About 20 EUR,,,,,Removable Li-Ion 900 mAh battery,,,,,,,,,,,,,Yes,No,,0.90 W/kg (head)     0.75 W/kg (body),,,,"Yes, Photocall","10 dialed, 10 received, 10 missed calls","SMS, EMS, MMS",Yes,"Yes, MIDP 2.0",,WAP 2.0/xHTML,,"Vibration, Polyphonic(32) ringtones",,,
lg,LG KP110,https://fdn2.gsmarena.com/vv/bigpic/lg-kp110.jpg,GSM,GSM 900 / 1800,,,,"2008, April. Released 2008, May",Discontinued,103.1 x 46 x 13.4 mm (4.06 x 1.81 x 0.53 in),65 g (2.29 oz),Mini-SIM,"CSTN, 65K colors","1.5 inches, 7.3 cm2 (~15.3% screen-to-body ratio)","128 x 128 pixels, 1:1 ratio (~121 ppi density)",,,,,"microSD, up to 2 GB (dedicated slot)",1 MB,,,,,,Yes,No,No,No,No,No,FM radio,1.1,,Mobile Tracker MP3 player Organizer Predictive text input,"Black, Cherry, Silver, White",About 40 EUR,,,,,Removable Li-Ion 900 mAh battery,,,,,,,,,,,,,Class 10,No,Up to 400 h,1.00 W/kg (head)     0.83 W/kg (body),,Up to 4 h,,Yes,"10 dialed, 10 received, 10 missed calls","SMS,  MMS",Yes + downloadable,Yes,,WAP 2.0/xHTML,,Vibration; Downloadable polyphonic ringtones,,,
