Brand,Model Name,Model Image,Technology,2G bands,,GPRS,EDGE,Announced,Status,Dimensions,Weight,SIM,Type,Size,Resolution,Card slot,Phonebook,Call records,Internal,_1,Loudspeaker,Alert types,3.5mm jack,WLAN,Bluetooth,GPS,Radio,USB,Sensors,Messaging,Browser,Games,Java,_1_1,Stand-by,Talk time,Colors,Single,Video,Infrared port,3G bands,Speed,Features,Keyboard,OS,CPU,Languages,Single_1,Video_1,Chipset,Clock,Alarm,4G bands,Protection,GPU,NFC,Charging,Music play,Price,Loudspeaker_1,Build,Triple,Features_1,Performance,Display,Camera,Audio quality,Battery life,Dual,Models,SAR,SAR EU,Dual_1,5G
b'yota',b'Yota YotaPhone 3',b'https://cdn2.gsmarena.com/vv/bigpic/yotaphone-3.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',"b'Secondary always-on grayscale capacitive touchscreen, 720 x 1280 pixels (282 ppi), 5.2 inches'",,,"b'2017, August'","b'Available. Released 2017, September'",b'153.6 x 75.2 x 7.9 mm (6.05 x 2.96 x 0.31 in)',b'170 g (6.00 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'","b'AMOLED capacitive touchscreen, 16M colors'","b'5.5 inches, 83.4 cm2 (~72.2% screen-to-body ratio)'","b'1080 x 1920 pixels, 16:9 ratio (~401 ppi density)'",b'No',,,"b'64/128 GB, 4 GB RAM'",b'Active noise cancellation with dedicated mic',b'Yes',,b'No',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'4.2, A2DP, LE'","b'Yes, with A-GPS, GLONASS'",b'FM radio',b'Type-C 1.0 reversible connector',"b'Fingerprint (front-mounted), accelerometer, gyro, proximity, compass'",,,,,b'Non-removable Li-Po 3300 mAh battery',,,b'Black',"b'12 MP, f/1.9, AF'",b'1080p@30fps',,b'HSDPA 850 / 900 / 1900 / 2100',"b'HSPA, LTE'","b'Dual-LED dual-tone flash, panorama, HDR'",,b'Android 7.1.1 (Nougat); Yota 3',b'Octa-core 2.0 GHz Cortex-A53',,"b'13 MP, f/2.2'",b'',b'Qualcomm MSM8953 Snapdragon 625 (14 nm)',,,b'LTE (unspecified)',b'Corning Gorilla Glass 4',b'Adreno 506',b'Yes',b'Fast battery charging 18W',,b'About 310 EUR',,"b'Front/back glass (Gorilla Glass 4), aluminum frame'",,,,,,,,,,,,,
b'yota',b'Yota YotaPhone 2',b'https://cdn2.gsmarena.com/vv/bigpic/yotaphone-2.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900',"b'Secondary always-on grayscale capacitive touchscreen, 540 x 960 pixels (235 ppi), 4.7 inches'",,,"b'2014, February'","b'Available. Released 2014, December'",b'144.9 x 69.4 x 9 mm (5.70 x 2.73 x 0.35 in)',b'145 g (5.11 oz)',b'Nano-SIM',"b'AMOLED capacitive touchscreen, 16M colors'","b'5.0 inches, 68.6 cm2 (~68.2% screen-to-body ratio)'","b'1080 x 1920 pixels, 16:9 ratio (~442 ppi density)'",b'No',,,"b'32 GB, 2 GB RAM'",b'Active noise cancellation with dedicated mic',b'Yes',,b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, hotspot'","b'4.0, A2DP'","b'Yes, with A-GPS, GLONASS'",b'FM radio',b'microUSB 2.0',"b'Accelerometer, gyro, proximity, compass'",,,,,b'Non-removable Li-Ion 2500 mAh battery',b'Up to 397 h (2G) / Up to 406 h (3G)',b'Up to 41 h 40 min (2G) / Up to 26 h (3G)',"b'Black, White'","b'8 MP, AF'",b'1080p@30fps',,b'HSDPA 850 / 900 / 1900 / 2100',"b'HSPA, LTE Cat4 150/50 Mbps'","b'LED flash, panorama, HDR'",,"b'Android 4.4.3 (KitKat), upgradable to 6.0 (Marshmallow)'",b'Quad-core 2.3 GHz Krait 400',,b'2.1 MP',b'',b'Qualcomm Snapdragon 801 (28 nm)',,,"b'LTE band 3(1800), 7(2600), 20(800)'",b'Corning Gorilla Glass 3',b'Adreno 330',b'Yes',b'Qi wireless charging',b'Up to 92 h',b'About 150 EUR',b'Voice 66dB / Noise 65dB / Ring 69dB',"b'Front/back glass (Gorilla Glass 3), aluminum frame'",,,b'Basemark OS II: 1054 / Basemark OS II 2.0: 1021Basemark X: 9877',"b'Contrast ratio: Infinite (nominal), 3.453 (sunlight)'",b'Photo / Video',b'Noise -92.1dB / Crosstalk -90.7dB',b'Endurance rating 57h',,b'YD201',,b'0.29 W/kg (head) \xc2\xa0 \xc2\xa0 0.27 W/kg (body)',,
b'yota',b'Yota YotaPhone',b'https://cdn2.gsmarena.com/vv/bigpic/yotaphone-1.jpg',b'GSM / HSPA / LTE',b'GSM 900 / 1800 / 1900',"b'Secondary always-on grayscale capacitive touchscreen, 360 x 640 pixels (170 ppi), 4.3 inches'",,,"b'2012, December. Released 2013, November'",b'Discontinued',b'133.6 x 67 x 10 mm (5.26 x 2.64 x 0.39 in)',b'146 g (5.15 oz)',b'Micro-SIM',"b'IPS LCD capacitive touchscreen, 16M colors'","b'4.3 inches, 51.0 cm2 (~56.9% screen-to-body ratio)'","b'720 x 1280 pixels, 16:9 ratio (~342 ppi density)'",b'No',,,"b'32 GB, 2 GB RAM'",b'Active noise cancellation with dedicated mic',b'Yes',,b'Yes',"b'Wi-Fi 802.11 a/b/g/n, dual-band, hotspot'","b'4.0, A2DP, LE'","b'Yes, with A-GPS, GLONASS'",b'No',b'microUSB 2.0',"b'Accelerometer, gyro, proximity, compass'",,,,,b'Non-removable Li-Ion 1800 mAh battery',b'Up to 282 h (2G) / Up to 327 h (3G)',b'Up to 22 h (2G) / Up to 15 h (3G)',"b'Black, White'","b'13 MP, AF'",b'1080p@30fps',,b'HSDPA 900 / 2100 / 1800',"b'HSPA 42.2/11.5 Mbps, LTE Cat3 100/50 Mbps'",b'LED flash',,b'Android 4.2.2 (Jelly Bean)',b'Dual-core 1.7 GHz Krait',,b'1 MP',b'',b'Qualcomm MSM8960T Snapdragon S4 Pro',,,"b'LTE band 3(1800), 7(2600), 20(800)'",b'Corning Gorilla Glass',b'Adreno 320',,,b'Up to 48 h',b'About 420 EUR',,"b'Front/back glass (Gorilla Glass), aluminum frame'",,,,,,,,,,,b'0.57 W/kg (head) \xc2\xa0 \xc2\xa0 0.28 W/kg (body)',,
