Brand,Model Name,Model Image,Technology,2G bands,3G bands,4G bands,Speed,Announced,Status,Dimensions,Weight,SIM,Type,Size,Resolution,OS,Card slot,Internal,Single,Video,Single_1,Video_1,Loudspeaker,3.5mm jack,,WLAN,Bluetooth,GPS,Radio,USB,Sensors,_1,Colors,Protection,Chipset,CPU,GPU,Dual,Features,Features_1,NFC,Models,_1_1,Price,Infrared port,Charging,Stand-by,Talk time,GPRS,EDGE,Build,Music play,Phonebook,Call records,Messaging,Games,Java,SAR EU,Display,Camera,Loudspeaker_1,Audio quality,Battery life,SAR,Keyboard,Browser,Alert types,Clock,Alarm,Languages,Dual_1,Performance,Triple,5G
b'garmin_asus',b'Garmin-Asus A10',b'https://cdn2.gsmarena.com/vv/bigpic/garmin-asus-a10.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900',b'HSDPA 900 / 2100',,b'HSPA 7.2/0.384 Mbps',"b'2010, April. Released 2010, July'",b'Discontinued',b'-',b'-',b'Mini-SIM',"b'TFT capacitive touchscreen, 256K colors'","b'3.2 inches, 30.5 cm2'","b'320 x 480 pixels, 3:2 ratio (~180 ppi density)'",b'Android 2.1 (Eclair)',"b'microSD, up to 32 GB (dedicated slot)'","b'4 GB, 512 MB RAM'","b'5 MP, AF'",b'320p@30fps',,,b'Yes',b'Yes',b'No',b'Wi-Fi 802.11 b/g',"b'2.0, A2DP, EDR'","b'Yes, with A-GPS, Garmin navigation'",b'No',b'2.0',"b'Accelerometer, compass'",b'MP3/eAAC+/WAV player MP4/H.264 player Document viewer Photo viewer/editor Organizer Voice memo Predictive text input',b'Black',,,,,,,,,,b'Removable Li-Ion 1500 mAh battery',b'About 310 EUR',,,b'Up to 530 h (2G) / Up to 660 h (3G)',b'Up to 9 h 20 min (2G) / Up to 12 h (3G)',,,,,,,,,,,,,,,,,,b'HTML',,,,,,,,
b'garmin_asus',b'Garmin-Asus nuvifone A50',b'https://cdn2.gsmarena.com/vv/bigpic/asus-nuvifone-a50.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900',b'HSDPA 1700 / 2100',,b'HSPA 7.2/0.384 Mbps',"b'2010, February. Released 2010, Q3'",b'Discontinued',b'116 x 62.2 x 12 mm (4.57 x 2.45 x 0.47 in)',b'136 g (4.80 oz)',b'Mini-SIM',"b'TFT capacitive touchscreen, 256K colors'","b'3.5 inches, 36.5 cm2 (~50.6% screen-to-body ratio)'","b'320 x 480 pixels, 3:2 ratio (~165 ppi density)'",b'Android 2.1 (Eclair)',"b'microSD, up to 32 GB (dedicated slot)'","b'4 GB, 256 MB RAM'","b'3.15 MP, AF'",b'480p@24fps',,,b'Yes',b'No',b'No',b'Wi-Fi 802.11b/g',"b'2.0, A2DP, EDR'","b'Yes, with A-GPS, Garmin navigation'",b'No',b'2.0',"b'Accelerometer, compass'",b'MP3/eAAC+/WAV player MP4/H.264 player Document viewer Photo viewer/editor Organizer Voice memo Predictive text input',b'Black',,b'Qualcomm MSM7227 Snapdragon S1',b'600 MHz ARM 11',b'Adreno 200',,,,,,b'Removable Li-Ion 1150 mAh battery',,,,b'Up to 150 h',b'Up to 5 h',,,,,,,,,,,,,,,,,,b'HTML',,,,,,,,
b'garmin_asus',b'Garmin-Asus nuvifone M10',b'https://cdn2.gsmarena.com/vv/bigpic/garmin-asus-nuvifone-m10.jpg',b'GSM / HSPA',b'GSM 900 / 1800 / 1900',b'HSDPA 900 / 2100',,b'HSPA 7.2/0.384 Mbps',"b'2010, January. Released 2010, March'",b'Discontinued',b'-',b'-',b'Mini-SIM',"b'TFT resistive touchscreen, 65K colors'","b'3.5 inches, 34.9 cm2'","b'480 x 800 pixels, 5:3 ratio (~267 ppi density)'",b'Microsoft Windows Mobile 6.5.3 Professional',"b'microSD, up to 32 GB (dedicated slot)'","b'4 GB, 512 MB RAM, 512 MB ROM'","b'5 MP, AF'",b'480p@24fps',,,b'Yes',b'Yes',b'GSM 850 / 1800 / 1900 - US version',b'Wi-Fi 802.11b/g',"b'2.0, A2DP'","b'Yes, with A-GPS'",b'No',b'2.0',b'Accelerometer',b'HSDPA 850 / 1900 - US version',"b'Black, White'",,b'Qualcomm MSM7227 Snapdragon S1',b'600 MHz ARM 11',b'Adreno 200',,,,,,b'Removable Li-Ion 1500 mAh battery',b'About 310 EUR',,,b'Up to 600 h (2G) / Up to 600 h (3G)',b'Up to 8 h',,,,,,,,,,,,,,,,,,"b'WAP 2.0/xHTML, HTML'",,,,,,,,
b'garmin_asus',b'Garmin-Asus nuvifone G60',b'https://cdn2.gsmarena.com/vv/bigpic/asus-nuvifone-g60.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900',b'HSDPA 850 / 900 / 2100',,b'HSPA 3.6/0.384 Mbps',"b'2009, February. Released 2009, October'",b'Discontinued',b'112 x 58 x 14 mm (4.41 x 2.28 x 0.55 in)',b'137 g (4.83 oz)',b'Mini-SIM',"b'TFT resistive touchscreen, 65K colors'","b'3.55 inches, 34.9 cm2 (~53.7% screen-to-body ratio)'","b'272 x 480 pixels, 16:9 ratio (~155 ppi density)'",b'Linux',"b'microSD, up to 16 GB (dedicated slot)'","b'4 GB, 128 MB RAM'","b'3.15 MP, AF'",b'No',,,b'Yes',b'No',b'No',b'Wi-Fi 802.11b/g',"b'2.0, A2DP'",b'Yes',b'No',b'2.0',b'',b'2.5 mm audio jack',b'Black',,,,,,,,,,b'Removable Li-Ion 1100 mAh battery',b'About 190 EUR',,,,,,,,,,,,,,,,,,,,b'1.26 W/kg (head) \xc2\xa0 \xc2\xa0 0.37 W/kg (body)',,b'HTTP / WAP 2.0',,,,,,,,
b'garmin_asus',b'Garmin-Asus nuvifone M20',b'https://cdn2.gsmarena.com/vv/bigpic/asus-nuvifone-m20.jpg',b'GSM / HSPA',b'GSM 900 / 1800 / 1900',b'HSDPA 900 / 2100',,b'HSPA 7.2/0.384 Mbps',"b'2009, February. Released 2009, September'",b'Discontinued',b'95.3 x 52.5 x 12.8 mm (3.75 x 2.07 x 0.50 in)',b'99 g (3.49 oz)',b'Mini-SIM',"b'TFT resistive touchscreen, 65K colors'","b'2.8 inches, 24.3 cm2 (~48.5% screen-to-body ratio)'","b'480 x 640 pixels, 4:3 ratio (~286 ppi density)'","b'Microsoft Windows Mobile 6.1 Professional, upgradable to Windows Mobile 6.5'",b'No',b'4/8 GB',"b'3.15 MP, AF'",b'320p@15fps',b'Yes',b'',b'Yes',b'No',b'GSM 850 / 1800 / 1900 - US version',b'Wi-Fi 802.11b/g',"b'2.0, A2DP'",b'Yes',b'No',b'2.0',b'Accelerometer',b'HSDPA 850 / 1900 - US version',"b'Green, Red, Blue, Black'",,b'Qualcomm MSM7200A',b'528 MHz ARM 11',b'Adreno 130',,,,,,b'Removable Li-Ion 920 mAh battery',b'About 300 EUR',,,,b'Up to 2 h 48',,,,,,,,,,,,,,,,,,b'HTTP / WAP 2.0',,,,,,,,
