Brand,Model Name,Model Image,Technology,2G bands,3G bands,4G bands,Speed,Announced,Status,Dimensions,Weight,SIM,Type,Size,Resolution,OS,Card slot,Internal,Single,Video,Single_1,Video_1,Loudspeaker,3.5mm jack,,WLAN,Bluetooth,GPS,Radio,USB,Sensors,_1,Colors,Protection,Chipset,CPU,GPU,Dual,Features,Features_1,NFC,Models,_1_1,Price,Infrared port,Charging,Stand-by,Talk time,GPRS,EDGE,Build,Music play,Phonebook,Call records,Messaging,Games,Java,SAR EU,Display,Camera,Loudspeaker_1,Audio quality,Battery life,SAR,Keyboard,Browser,Alert types,Clock,Alarm,Languages,Dual_1,Performance,Triple,5G,Quad
b'icemobile',b'Icemobile G2',b'https://cdn2.gsmarena.com/vv/bigpic/icemobile-g2.jpg',b'GSM',b'GSM 850 / 900 / 1800 / 1900',,,,"b'2013, July. Released 2013, July'",b'Discontinued',b'195 x 124 x 9.8 mm (7.68 x 4.88 x 0.39 in)',b'450 g (0.99 lb)',b'Yes',b'TFT capacitive touchscreen',"b'7.0 inches, 137.9 cm2 (~57.0% screen-to-body ratio)'","b'600 x 1024 pixels, 16:9 ratio (~170 ppi density)'",b'Android OS',"b'microSD, up to 32 GB (dedicated slot)'",,b'3.15 MP',b'Yes',b'VGA',b'',b'Yes',b'Yes',b'Flashlight',b'Wi-Fi 802.11 b/g',"b'2.1, EDR'",b'Yes',b'No',b'2.0',b'Accelerometer',b'Analog TV',"b'White, Black'",,,,,,,,,,b'Non-removable Li-Po 2800 mAh battery',,b'Yes',,b'Up to 120 h',b'Up to 4 h',b'Class 12',b'Yes',,,,,,,,,,,,,,,,,,,,,,,,,
b'icemobile',b'Icemobile Gprime Extreme',b'https://cdn2.gsmarena.com/vv/bigpic/icemobile-gprime-extreme.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 2100',,b'HSPA',b'2013. Released 2013',b'Discontinued',b'143 x 72.8 x 10 mm (5.63 x 2.87 x 0.39 in)',b'125 g (4.41 oz)',b'Dual SIM (Mini-SIM)',b'TFT capacitive touchscreen',"b'5.0 inches, 68.9 cm2 (~66.2% screen-to-body ratio)'","b'720 x 1280 pixels, 16:9 ratio (~294 ppi density)'",b'Android 4.2.1 (Jelly Bean)',"b'microSD, up to 32 GB (dedicated slot)'",,"b'8 MP, AF'",b'Yes',b'2 MP',b'',b'No',b'Yes',b'Removable Li-Ion 1600 mAh battery',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'2.1, EDR'","b'Yes, with A-GPS'",b'FM radio',b'microUSB 2.0',"b'Accelerometer, proximity'",,"b'Black, White'",,b'Mediatek MT6589 (28 nm)',b'Quad-core 1.2 GHz Cortex-A7',b'PowerVR SGX544',,b'LED flash',,,,,,,,b'Up to 240 h',b'Up to 6 h',,,,,,,,,,,,,,,,,,,,,,,,,,,
b'icemobile',b'Icemobile G7',b'https://cdn2.gsmarena.com/vv/bigpic/icemobile-g7.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900',b'HSDPA 850 / 1900 / 2100',,b'HSPA',"b'2013, April. Released 2013, April'",b'Discontinued',b'195 x 124 x 9.8 mm (7.68 x 4.88 x 0.39 in)',b'450 g (0.99 lb)',b'Yes',b'TFT capacitive touchscreen',"b'7.0 inches, 137.9 cm2 (~57.0% screen-to-body ratio)'","b'600 x 1024 pixels, 16:9 ratio (~170 ppi density)'",b'Android OS',"b'microSD, up to 32 GB (dedicated slot)'",,b'3.15 MP',b'Yes',b'VGA',b'',b'Yes',b'Yes',b'Flashlight',b'Wi-Fi 802.11 b/g',"b'2.1, EDR'",b'Yes',b'No',b'2.0',b'Accelerometer',b'Analog TV',"b'White, Black'",,,,,,,,,,b'Non-removable Li-Po 2800 mAh battery',,b'Yes',,b'Up to 120 h',b'Up to 4 h',,,,,,,,,,,,,,,,,,,,,,,,,,,
b'icemobile',b'Icemobile G5',b'https://cdn2.gsmarena.com/vv/bigpic/icemobile-g51.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900',b'HSDPA 850 / 1900 / 2100',,b'HSPA',"b'2013, January. Released 2013, January'",b'Discontinued',b'196.6 x 123.3 x 11.1 mm (7.74 x 4.85 x 0.44 in)',b'345 g (12.17 oz)',b'Mini-SIM',"b'TFT capacitive touchscreen, 16M colors'","b'7.0 inches, 137.9 cm2 (~56.9% screen-to-body ratio)'","b'600 x 1024 pixels, 16:9 ratio'",b'Android 4.0 (Ice Cream Sandwich)',"b'microSD, up to 32 GB (dedicated slot)'",,b'2 MP',b'Yes',b'VGA',b'',b'Yes',b'Yes',b'Analog TV',b'Wi-Fi 802.11 b/g/n',b'Yes',b'Yes',b'FM radio',b'2.0',b'Accelerometer',b'Non-removable Li-Po 3000 mAh battery',b'White/Black',,b'Mediatek MT6575 (40 nm)',b'1.0 GHz Cortex-A9',b'PowerVR SGX531',,,,,,,,b'Yes',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'icemobile',b'Icemobile Tropical 3',b'https://cdn2.gsmarena.com/vv/bigpic/icemobile-tropical3.jpg',b'GSM',b'GSM 850 / 900 / 1800 / 1900 - SIM 1',,,,"b'2011, November. Released 2012, November'",b'Discontinued',b'103 x 55 x 13.3 mm (4.06 x 2.17 x 0.52 in)',b'-',b'Dual SIM (Mini-SIM)',b'TFT',"b'1.8 inches, 10.2 cm2 (~18.0% screen-to-body ratio)'",b'128 x 160 pixels (~114 ppi density)',,"b'microSD, up to 8 GB (dedicated slot)'",,b'VGA',b'',,,b'Yes',b'Yes',b'GSM 850 / 900 / 1800 / 1900 - SIM 2',b'No',b'Yes',b'No',b'Stereo FM radio',b'miniUSB',b'',b'Flashlight',"b'Black, Red, Blue, Silver, White'",,,,,,,,,,b'Removable Li-Ion 800 mAh battery',,,,b'Up to 180 h',b'Up to 7 h',b'Class 10',b'No',,,b'500 entries',b'20 entries',"b'SMS, MMS'",b'Yes',b'No',,,,,,,,b'QWERTY',,,,,,,,,,
b'icemobile',b'Icemobile Quattro',b'https://cdn2.gsmarena.com/vv/bigpic/icemobile-quattro.jpg',b'GSM',b'GSM 850 / 900 / 1800 / 1900 - SIM 1',,,,"b'2012, November. Released 2012, November'",b'Discontinued',b'104 x 54 x 10.3 mm (4.09 x 2.13 x 0.41 in)',b'-',b'Dual SIM (Mini-SIM)',b'TFT',"b'2.3 inches, 16.4 cm2 (~29.2% screen-to-body ratio)'","b'320 x 240 pixels, 4:3 ratio (~174 ppi density)'",,"b'microSD, up to 8 GB (dedicated slot)'",,b'Yes',b'',,,b'Yes',b'Yes',b'GSM 850 / 900 / 1800 / 1900 - SIM 2',b'No',b'Yes',b'No',b'Stereo FM radio',b'miniUSB',b'',b'Flashlight',"b'White, Black, Silver, Blue, Red'",,,,,,,,,,b'Removable Li-Ion 1500 mAh battery (BP-4L)',,,,b'Up to 220 h',b'Up to 8 h',b'Class 10',b'No',,,b'300 entries',b'20 entries',"b'SMS, MMS'",b'Yes',b'No',,,,,,,,b'QWERTY',,,,,,,,,,
b'icemobile',b'Icemobile Prime Plus',b'https://cdn2.gsmarena.com/vv/bigpic/icemobile-galaxy-prime-plus.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 1900 / 2100',,b'HSPA',"b'2012, October. Released 2012, October'",b'Discontinued',b'141.6 x 76.1 x 10.5 mm (5.57 x 3.00 x 0.41 in)',b'135 g (4.76 oz)',b'Dual SIM (Mini-SIM)',b'TFT capacitive touchscreen',"b'5.0 inches, 71.2 cm2 (~66.0% screen-to-body ratio)'","b'480 x 800 pixels, 5:3 ratio (~187 ppi density)'",b'Android 4.0 (Ice Cream Sandwich)',"b'microSD, up to 32 GB (dedicated slot)'","b'4 GB, 512 MB RAM'","b'5 MP, AF'",b'Yes',b'VGA',b'',b'No',b'Yes',b'HSDPA 2100',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.0, EDR'","b'Yes, with A-GPS'",b'No',"b'microUSB 2.0, USB Host'","b'Accelerometer, proximity'",b'Removable Li-Ion 2150 mAh battery',"b'Black, White'",,b'Qualcomm MSM8225 Snapdragon S4 Play',b'Dual-core 1.0 GHz Cortex-A5',b'Adreno 203',,b'LED flash',,,,,,,,b'Up to 120 h',b'Up to 8 h',,,,,,,,,,,,,,,,,,,,,,,,,,,
b'icemobile',b'Icemobile Submarine',b'https://cdn2.gsmarena.com/vv/bigpic/icemobile-submarine.jpg',b'GSM',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',,,,"b'2012, October. Released 2012, October'",b'Discontinued',b'119 x 53 x 20 mm (4.69 x 2.09 x 0.79 in)',b'135 g (4.76 oz)',b'Dual SIM (Mini-SIM)',b'TFT',"b'2.0 inches, 12.6 cm2 (~20.1% screen-to-body ratio)'",b'176 x 144 pixels (~114 ppi density)',,"b'microSD, up to 16 GB (dedicated slot)'",,b'1.3 MP',b'Yes',,,b'Yes',b'Yes',b'Flashlight',b'Wi-Fi 802.11 b/g/n',b'Yes',b'No',b'FM radio',b'1.1',b'',b'No',"b'Black, Orange, Gray'",,,,,,,,,,b'Removable Li-Ion 1800 mAh battery',,,,b'Up to 550 h',b'Up to 12 h',b'Yes',b'No',,,b'300 entries',b'Yes',"b'SMS, MMS'",b'Yes',b'No',,,,,,,,,,,,,,,,,,
b'icemobile',b'Icemobile Charm',b'https://cdn2.gsmarena.com/vv/bigpic/icemobile-charm.jpg',b'GSM',b'GSM 850 / 900 / 1800 / 1900 - SIM 1',,,,"b'2012, October. Released 2012, October'",b'Discontinued',b'92 x 43.5 x 20.8 mm (3.62 x 1.71 x 0.82 in)',b'-',b'Dual SIM (Mini-SIM)',b'TFT',"b'1.8 inches, 10.2 cm2 (~25.5% screen-to-body ratio)'",b'128 x 160 pixels (~114 ppi density)',,"b'microSD, up to 4 GB (dedicated slot)'",,b'VGA',b'No',,,b'Yes',b'No',b'GSM 850 / 900 / 1800 / 1900 - SIM 2',b'No',b'Yes',b'No',b'Stereo FM radio',b'miniUSB (charging only)',b'',b'Flashlight',"b'Black, Red, Silver, Blue, Pink'",,,,,,,,,,b'Removable Li-Ion 800 mAh battery',,,,b'Up to 150 h',b'Up to 7 h',b'Class 10',b'No',,,b'200 contacts',b'Yes',"b'SMS, MMS'",b'Yes',b'No',,,,,,,,,,,,,,,,,,
b'icemobile',b'Icemobile Apollo Touch',b'https://cdn2.gsmarena.com/vv/bigpic/icemobile-apollo-touch.jpg',b'GSM',b'GSM 850 / 900 / 1800 / 1900 - SIM 1',,,,"b'2012, October. Released 2012, October'",b'Discontinued',b'-',b'-',b'Dual SIM (Mini-SIM)',b'TFT capacitive touchscreen',"b'3.5 inches, 36.5 cm2'","b'320 x 480 pixels, 3:2 ratio (~165 ppi density)'",b'Android 2.3.6 (Gingerbread)',"b'microSD, up to 32 GB (dedicated slot)'",,b'2 MP',b'Yes',b'VGA',b'',b'Yes',b'Yes',b'GSM 850 / 900 / 1800 / 1900 - SIM 2',b'Wi-Fi 802.11 b/g/n',b'Yes',b'No',b'FM radio',b'microUSB 2.0',b'Accelerometer',b'MP4/H.264 player MP3/WAV/eAAC+ player Document viewer Photo viewer/editor',"b'White, Black, Pink, Blue, Green, Red, Yellow'",,b'Mediatek MT6515',b'1.0 GHz Cortex-A9',b'PowerVR SGX531',,,,,,b'Removable Li-Ion 1200 mAh battery',,,,,,b'Class 12',b'Yes',,,,,,,,,,,,,,,,,,,,,,,,,
