Brand,Model Name,Model Image,Technology,2G bands,3G bands,4G bands,Speed,Announced,Status,Dimensions,Weight,SIM,Type,Size,Resolution,OS,Card slot,Internal,Single,Video,Single_1,Video_1,Loudspeaker,3.5mm jack,,WLAN,Bluetooth,GPS,Radio,USB,Sensors,_1,Colors,Protection,Chipset,CPU,GPU,Dual,Features,Features_1,NFC,Models,_1_1,Price,Infrared port,Charging,Stand-by,Talk time,GPRS,EDGE,Build,Music play,Phonebook,Call records,Messaging,Games,Java,SAR EU,Display,Camera,Loudspeaker_1,Audio quality,Battery life,SAR,Keyboard,Browser,Alert types,Clock,Alarm,Languages,Dual_1,Performance,Triple,5G,Quad,Dual or Triple
b'neonode',b'Neonode N2',b'https://cdn2.gsmarena.com/vv/bigpic/neonode-n2.gif',b'GSM',b'GSM 850 / 900 / 1800 / 1900',,,,"b'2007, February'",b'Discontinued',b'77 x 47 x 14.7 mm (3.03 x 1.85 x 0.58 in)',b'70 g (2.47 oz)',b'Mini-SIM',"b'TFT touchscreen, 65K colors'","b'2.0 inches, 12.6 cm2 (~34.8% screen-to-body ratio)'",b'176 x 220 pixels (~141 ppi density)',,"b'miniSD, 1 GB included'",,b'2 MP',b'No',,,b'Yes',b'No',b'No',b'No',b'Yes',b'No',b'No',b'Proprietary',b'',b'MP3/WMA/MPEG/WMV player Calculator Task manager Stereo sound in headphones',b'Black',,,,,,,,,,b'Removable Li-Ion battery',b'About 410 EUR',,,b'Up to 200 h',b'Up to 4 h',b'Yes',b'No',,,"b'Yes, Photo call'",b'',"b'SMS, MMS'",b'Yes',b'No',,,,,,,,,"b'WAP 2.0/xHTML, HTML'","b'Vibration; Polyphonic, MP3 ringtones'",,,,,,,,,
b'neonode',b'Neonode N1m',b'https://cdn2.gsmarena.com/vv/bigpic/neonode-n1m.gif',b'GSM',b'GSM 900 / 1800 / 1900',,,,"b'2005, Q1'",b'Discontinued',b'88 x 52 x 21 mm (3.46 x 2.05 x 0.83 in)',b'94 g (3.32 oz)',b'Mini-SIM',"b'TFT touchscreen, 65K colors'","b'2.2 inches, 35 x 44 mm, 15.2 cm2 (~33.3% screen-to-body ratio)'",b'176 x 220 pixels (~128 ppi density)',b'Microsoft Windows CE.NET',"b'SD, up to 1 GB, 64 MB included'",,b'1 MP',b'No',,,b'Yes',b'No',b'4-way navigation buttons',b'No',b'No',b'No',b'No',b'Proprietary',b'',b'No',b'',,,,,,,,,,b'Removable Li-Ion 1100 mAh battery',,,,b'Up to 100 h',b'Up to 3 h',b'Class 10',b'No',,,,,,,,,,,,,,,,"b'WAP 2.0/xHTML, HTML'","b'Vibration; Polyphonic, MP3 ringtones'",,,,,,,,,
b'neonode',b'Neonode N1',b'https://cdn2.gsmarena.com/vv/bigpic/nnn1.gif',b'GSM',b'GSM 900 / 1800',,,,b'2003',b'Discontinued',b'88 x 52 x 21 mm (3.46 x 2.05 x 0.83 in)',b'86 g (3.03 oz)',b'Mini-SIM',"b'TFT, 65K colors'","b'2.2 inches, 35 x 44 mm, 15.2 cm2 (~33.3% screen-to-body ratio)'",b'176 x 220 pixels (~128 ppi density)',b'Microsoft Windows CE.NET',"b'SD/MMC, up to 1 GB, 64 MB included'",b'16 MB RAM',b'VGA',b'QCIF',,,b'Yes',b'No',b'262K colors in picture view mode 4-way navigation buttons',b'No',b'No',b'No',b'No',"b'2.0, USB host'",b'',b'No',b'',,,,,,,,,,b'Removable Li-Ion 1100 mAh battery',,b'Yes',,b'Up to 250 h',b'Up to 3 h',b'Yes',b'No',,,,,,,,,,,,,,,,"b'WAP 2.0/xHTML, HTML (IE 5.5)'",b'Monophonic ringtones',b'Yes',b'Yes',,,,,,,
