Brand,Model Name,Model Image,Technology,2G bands,,3G bands,4G bands,Speed,Announced,Status,Dimensions,Weight,Build,SIM,_1,Type,Size,Resolution,Protection,OS,Chipset,CPU,GPU,Card slot,Internal,Single,Features,Video,Single_1,Features_1,Video_1,Loudspeaker,3.5mm jack,_1_1,WLAN,Bluetooth,GPS,NFC,Radio,USB,Sensors,Charging,Colors,Price,Performance,Loudspeaker_1,Battery life,Dual,Models,Display,Camera,Audio quality,Dual_1,Talk time,SAR,Stand-by,Infrared port,SAR EU,GPRS,EDGE,Keyboard,Phonebook,Call records,Messaging,Games,Java,Music play,Browser,Alert types,Languages,Clock,Alarm,Triple
motorola,Motorola RAZR i XT890,https://cdn2.gsmarena.com/vv/bigpic/motorola-razr-i.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,Splash resistant,HSDPA 850 / 900 / 1900 / 2100,,HSPA 21.1/5.76 Mbps,"2012, September. Released 2012, October",Discontinued,122.5 x 60.9 x 8.3 mm (4.82 x 2.40 x 0.33 in),126 g (4.44 oz),,Micro-SIM,Active noise cancellation with dedicated mic,"Super AMOLED Advanced capacitive touchscreen, 16M colors","4.3 inches, 51.0 cm2 (~68.3% screen-to-body ratio)","540 x 960 pixels, 16:9 ratio (~256 ppi density)",Corning Gorilla Glass,"Android 4.0.4 (Ice Cream Sandwich), upgradable to 4.4.2 (KitKat)",Intel Atom Z2460,2 GHz,PowerVR SGX540,"microSD, up to 32 GB (dedicated slot)","8 GB (5 GB user available), 1 GB RAM","8 MP, AF","LED flash, HDR",1080p@30fps,VGA,,,Yes,Yes,Non-removable Li-Ion 2000 mAh battery,"Wi-Fi 802.11 a/b/g/n, dual-band, DLNA, hotspot","2.1, A2DP, EDR, aptX","Yes, with A-GPS, S-GPS",Yes,No,microUSB 2.0,"Accelerometer, proximity, compass",,"Black, White",About 180 EUR,,Voice 76dB / Noise 71dB / Ring 68dB,Endurance rating 64h,,,Contrast ratio: Infinite (nominal) / 2.366:1 (sunlight),Photo / Video,Noise -88.3dB / Crosstalk -88.4dB,,Up to 20 h,1.39 W/kg (head)     0.39 W/kg (body),,,,,,,,,,,,,,,,,,
motorola,Motorola DROID RAZR MAXX HD,https://cdn2.gsmarena.com/vv/bigpic/motorola-droid-razr-maxx-hd.jpg,GSM / CDMA / HSPA / EVDO / LTE,CDMA 800 / 1900,GSM 850 / 900 / 1800 / 1900,CDMA2000 1xEV-DO,LTE band 13(700),"HSPA 21.1/5.76 Mbps, LTE, EV-DO Rev.A 3.1 Mbps","2012, September. Released 2012, November",Discontinued,131.9 x 67.9 x 9.3 mm (5.19 x 2.67 x 0.37 in),157 g (5.54 oz),,Micro-SIM,HSDPA 850 / 900 / 1900 / 2100,"Super AMOLED capacitive touchscreen, 16M colors","4.7 inches, 60.9 cm2 (~68.0% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~312 ppi density)",Corning Gorilla Glass,"Android 4.0.4 (Ice Cream Sandwich), upgradable to 4.4 (KitKat)",Qualcomm MSM8960 Snapdragon S4 Plus,Dual-core 1.5 GHz Krait,Adreno 225,"microSD, up to 32 GB (dedicated slot)","16/32 GB (26 GB user available), 1 GB RAM","8 MP, AF",LED flash,1080p@30fps,1.3 MP,,720p@30fps,Yes,Yes,Non-removable Li-Ion 3300 mAh battery,"Wi-Fi 802.11 a/b/g/n, dual-band, DLNA, hotspot","4.0, EDR, LE, aptX","Yes, with A-GPS, S-GPS, GLONASS",Yes,No,microUSB 2.0,"Accelerometer, proximity, compass, barometer",,"Black, White",About 270 EUR,,,,,,,,,,Up to 32 h,1.56 W/kg (head)     0.46 W/kg (body),Up to 372 h,,,,,,,,,,,,,,,,,
motorola,Motorola DROID RAZR HD,https://cdn2.gsmarena.com/vv/bigpic/motorla-razr-hd-vz.jpg,GSM / CDMA / HSPA / EVDO / LTE,CDMA 800 / 1900,GSM 850 / 900 / 1800 / 1900,CDMA2000 1xEV-DO,LTE band 13(700),"HSPA 21.1/5.76 Mbps, LTE, EV-DO Rev.A 3.1 Mbps","2012, September. Released 2012, October",Discontinued,131.9 x 67.9 x 8.4 mm (5.19 x 2.67 x 0.33 in),146 g (5.15 oz),,Micro-SIM,HSDPA 850 / 900 / 1900 / 2100,"Super AMOLED capacitive touchscreen, 16M colors","4.7 inches, 60.9 cm2 (~68.0% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~312 ppi density)",Corning Gorilla Glass,"Android 4.0.4 (Ice Cream Sandwich), upgradable to 4.4 (KitKat)",Qualcomm MSM8960 Snapdragon S4 Plus,Dual-core 1.5 GHz Krait,Adreno 225,"microSD, up to 32 GB (dedicated slot)","16 GB (12 GB user available), 1 GB RAM","8 MP, AF",LED flash,1080p@30fps,1.3 MP,,,Yes,Yes,Non-removable Li-Po 2530 mAh battery,"Wi-Fi 802.11 a/b/g/n, dual-band, hotspot","4.0, A2DP, EDR, LE, aptX","Yes, with A-GPS, S-GPS, GLONASS",Yes,No,microUSB 2.0,"Accelerometer, proximity, compass, barometer",,"Black, White",About 250 EUR,,,,,XT926,,,,,Up to 24 h,0.97 W/kg (head)     0.46 W/kg (body),Up to 286 h,,,,,,,,,,,,,,,,,
motorola,Motorola RAZR HD XT925,https://cdn2.gsmarena.com/vv/bigpic/motorla-razr-hd.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,Splash resistant,HSDPA 850 / 900 / 1900 / 2100,"LTE band 3(1800), 7(2600), 20(800)","HSPA 42.2/5.76 Mbps, LTE Cat3 100/50 Mbps","2012, September. Released 2012, September",Discontinued,131.9 x 67.9 x 8.4 mm (5.19 x 2.67 x 0.33 in),146 g (5.15 oz),,Micro-SIM,Active noise cancellation with dedicated mic,"Super AMOLED capacitive touchscreen, 16M colors","4.7 inches, 60.9 cm2 (~68.0% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~312 ppi density)",Corning Gorilla Glass,"Android 4.0.4 (Ice Cream Sandwich), upgradable to 4.4.2 (KitKat)",,Dual-core 1.5 GHz,,"microSD, up to 32 GB (dedicated slot)","16 GB (12 GB user available), 1 GB RAM","8 MP, AF",LED flash,1080p@30fps,1.3 MP,,,Yes,Yes,Non-removable Li-Po 2500/2530 mAh battery,"Wi-Fi 802.11 a/b/g/n, dual-band, DLNA, hotspot","4.0, A2DP, EDR, LE, aptX","Yes, with A-GPS, S-GPS, GLONASS",Yes,No,microUSB 2.0,"Accelerometer, proximity, compass",,"Black, White",About 250 EUR,,,,,,,,,,Up to 16 h (2G) / Up to 22 h (3G),0.61 W/kg (head)     0.43 W/kg (body),,,,,,,,,,,,,,,,,,
motorola,Motorola DROID RAZR M,https://cdn2.gsmarena.com/vv/bigpic/motorola-razr-m-vz.jpg,GSM / CDMA / HSPA / EVDO / LTE,CDMA 800 / 1900,GSM 850 / 900 / 1800 / 1900,CDMA2000 1xEV-DO,LTE band 13(700),"HSPA 21.1/5.76 Mbps, LTE, EV-DO Rev.A 3.1 Mbps","2012, September. Released 2012, September",Discontinued,122.5 x 60.9 x 8.3 mm (4.82 x 2.40 x 0.33 in),126 g (4.44 oz),,Micro-SIM,HSDPA 850 / 900 / 1900 / 2100,"Super AMOLED capacitive touchscreen, 16M colors","4.3 inches, 51.0 cm2 (~68.3% screen-to-body ratio)","540 x 960 pixels, 16:9 ratio (~256 ppi density)",Corning Gorilla Glass,"Android 4.0.4 (Ice Cream Sandwich), upgradable to 4.4 (KitKat)",Qualcomm MSM8960 Snapdragon S4 Plus,Dual-core 1.5 GHz Krait,Adreno 225,"microSD, up to 32 GB (dedicated slot)","8 GB, 1 GB RAM","8 MP, AF",LED flash,1080p@30fps,VGA,,720p,Yes,Yes,Non-removable Li-Ion 2000 mAh battery,"Wi-Fi 802.11 a/b/g/n, dual-band, hotspot, DLNA","4.0, EDR, LE","Yes, with A-GPS, GLONASS",Yes,No,microUSB 2.0,"Accelerometer, proximity, compass",,"Black, White",About 250 EUR,,,Endurance rating 55h,,XT907,,,Noise -82.9dB / Crosstalk -81.6dB,,Up to 20 h,0.63 W/kg (head)     1.30 W/kg (body),Up to 408 h,,,,,,,,,,,,,,,,,
motorola,Motorola RAZR M XT905,https://cdn2.gsmarena.com/vv/bigpic/motorola-razr-m.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,Splash resistant,HSDPA 850 / 900 / 1900 / 2100,"LTE band 3(1800), 7(2600)",HSPA 42.2/5.76 Mbps,"2012, September. Released 2013, January",Discontinued,122.5 x 60.9 x 8.3 mm (4.82 x 2.40 x 0.33 in),126 g (4.44 oz),,Micro-SIM,Active noise cancellation with dedicated mic,"Super AMOLED Advanced capacitive touchscreen, 16M colors","4.3 inches, 51.0 cm2 (~68.3% screen-to-body ratio)","540 x 960 pixels, 16:9 ratio (~256 ppi density)",Corning Gorilla Glass 2,"Android 4.0.4 (Ice Cream Sandwich), upgradable to 4.1 (Jelly Bean)",Qualcomm MSM8960 Snapdragon S4 Plus,Dual-core 1.5 GHz Krait,Adreno 225,"microSD, up to 32 GB (dedicated slot)","8 GB (4.5 GB user available), 1 GB RAM","8 MP, AF",LED flash,1080p@30fps,VGA,,,Yes,Yes,Non-removable Li-Ion 2000 mAh battery,"Wi-Fi 802.11 a/b/g/n, dual-band, DLNA, hotspot","4.0, A2DP, EDR, LE","Yes, with A-GPS, S-GPS, GLONASS",Yes,No,microUSB 2.0,"Accelerometer, proximity, compass",,"Black, White",About 250 EUR,,,,,,,,,,,1.11 W/kg (head)     0.66 W/kg (body),,,,,,,,,,,,,,,,,,
motorola,Motorola DEFY XT XT556,https://cdn2.gsmarena.com/vv/bigpic/motorola-defy-xt.jpg,CDMA / EVDO,CDMA 800 / 1900,IP67 dust/water resistant (up to 1m for 30 mins),CDMA2000 1xEV-DO,,EV-DO Rev.A 3.1 Mbps,"2012, July. Released 2012, July",Discontinued,115 x 58.5 x 12 mm (4.53 x 2.30 x 0.47 in),130 g (4.59 oz),,Mini-SIM,Touch sensitive controls,"TFT capacitive touchscreen, 16M colors","3.7 inches, 37.7 cm2 (~56.1% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~265 ppi density)",Corning Gorilla Glass,Android 2.3 (Gingerbread),,1.0 GHz,,"microSD, up to 32 GB (dedicated slot)","1 GB, 512 MB RAM","5 MP, AF",LED flash,480p@30fps,VGA,,,Yes,Yes,Removable Li-Ion 1650 mAh battery,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, DLNA, hotspot",Yes,"Yes, with A-GPS",,FM radio,microUSB 2.0,"Accelerometer, proximity, compass",,Brown,About 160 EUR,,,,,,,,,,Up to 5 h 30 min,1.45 W/kg (head)     1.48 W/kg (body),Up to 300 h,,,,,,,,,,,,,,,,,
motorola,Motorola Electrify 2 XT881,https://cdn2.gsmarena.com/vv/bigpic/motorola-electrify-2.jpg,GSM / CDMA / HSPA / EVDO,CDMA 800 / 1900,GSM 850 / 900 / 1800 / 1900,CDMA2000 1xEV-DO,,"EV-DO Rev.A 3.1 Mbps, HSPA","2012, July. Released 2012, July",Discontinued,128.5 x 65.8 x 8.4 mm (5.06 x 2.59 x 0.33 in),130 g (4.59 oz),,Mini-SIM,HSDPA 900 / 2100,"TFT capacitive touchscreen, 16M colors","4.3 inches, 51.0 cm2 (~60.3% screen-to-body ratio)","540 x 960 pixels, 16:9 ratio (~256 ppi density)",,Android 4.0.4 (Ice Cream Sandwich),TI OMAP 4430,Dual-core 1.2 GHz,PowerVR SGX540,"microSD, up to 32 GB (dedicated slot)","8 GB, 1 GB RAM","8 MP, AF",LED flash,1080p@30fps,VGA,,,Yes,Yes,Non-removable Li-Ion 1780 mAh battery,"Wi-Fi 802.11 b/g/n, DLNA, hotspot","4.0, A2DP, EDR, LE","Yes, with A-GPS",,"Stereo FM radio, RDS",microUSB 2.0,"Accelerometer, proximity, compass",,Black,About 260 EUR,,,,,,,,,,Up to 11 h (3G),0.83 W/kg (head)     0.65 W/kg (body),Up to 264 h (3G),,,,,,,,,,,,,,,,,
motorola,Motorola Photon Q 4G LTE XT897,https://cdn2.gsmarena.com/vv/bigpic/motorola-photon-q.jpg,GSM / CDMA / HSPA / EVDO / LTE,CDMA 800 / 1900,GSM 850 / 900 / 1800 / 1900,CDMA2000 1xEV-DO,LTE band 25(1900),"HSPA 21.1/5.76 Mbps, LTE, EV-DO Rev.A 3.1 Mbps","2012, July. Released 2012, August",Discontinued,126.5 x 66 x 13.7 mm (4.98 x 2.60 x 0.54 in),170.1 g (6.00 oz),,Non-removable,HSDPA 850 / 1900 / 2100,"TFT capacitive touchscreen, 16M colors","4.3 inches, 51.0 cm2 (~61.1% screen-to-body ratio)","540 x 960 pixels, 16:9 ratio (~256 ppi density)",Scratch-resistant glass,Android 4.0.4 (Ice Cream Sandwich),,Dual-core 1.5 GHz,,"microSD, up to 32 GB (dedicated slot)","8 GB, 1 GB RAM","8 MP, AF",LED flash,1080p@30fps,Yes,,,Yes,Yes,Non-removable Li-Ion 1785 mAh battery,"Wi-Fi 802.11 b/g/n, DLNA, hotspot","4.0, A2DP, EDR, LE","Yes, with A-GPS",Yes,No,microUSB 2.0,"Accelerometer, proximity, compass",,Black,About 220 EUR,,,,,,,,,,Up to 7 h 30 min (3G),0.89 W/kg (head)     0.77 W/kg (body),Up to 220 h (3G),,,,,QWERTY,,,,,,,,,,,,
motorola,Motorola Defy Pro XT560,https://cdn2.gsmarena.com/vv/bigpic/motorola-defy-pro.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 1900,HSDPA 900 / 2100,,HSPA 7.2/5.76 Mbps,"2012, July. Released 2012, July",Discontinued,110 x 66 x 12 mm (4.33 x 2.60 x 0.47 in),115 g (4.06 oz),,Mini-SIM,IP67 dust/water resistant (up to 1m for 30 mins),"TFT capacitive touchscreen, 16M colors","2.7 inches, 21.7 cm2 (~29.9% screen-to-body ratio)","320 x 480 pixels, 3:2 ratio (~214 ppi density)",Corning Gorilla Glass,Android 2.3 (Gingerbread),,1.0 GHz,,"microSD, up to 32 GB (dedicated slot), 2 GB included",287 MB,"5 MP, AF",LED flash,Yes,Yes,,,Yes,Yes,Removable Li-Ion 1700 mAh battery,"Wi-Fi 802.11 b/g/n, DLNA, hotspot","3.0, A2DP","Yes, with A-GPS",,FM radio,microUSB 2.0,"Accelerometer, proximity, compass",,Black,About 190 EUR,,,,,,,,,,Up to 12 h,1.42 W/kg (head)     1.27 W/kg (body),Up to 324 h,,,,,QWERTY,,,,,,,,,,,,
motorola,Motorola ATRIX HD MB886,https://cdn2.gsmarena.com/vv/bigpic/motorola-atrix-hd-mb886.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,Splash resistant,HSDPA 850 / 1700 / 1900 / 2100,"LTE band 4(1700/2100), 17(700)","HSPA 21.1/5.76 Mbps, LTE","2012, July. Released 2012, July",Discontinued,133.5 x 69.9 x 8.4 mm (5.26 x 2.75 x 0.33 in),140 g (4.94 oz),,Micro-SIM,Touch sensitive controls MOTOBLUR UI with Live Widgets ColorBoost,"TFT capacitive touchscreen, 16M colors","4.5 inches, 55.8 cm2 (~59.8% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~326 ppi density)",Corning Gorilla Glass,"Android 4.0.4 (Ice Cream Sandwich), upgradable to 4.1 (Jelly Bean)",Qualcomm MSM8960 Snapdragon S4 Plus,Dual-core 1.5 GHz Krait,Adreno 225,"microSD, up to 32 GB (dedicated slot)","8 GB, 1 GB RAM","8 MP, AF",LED flash,1080p@30fps,1.3 MP,,,Yes,Yes,Non-removable Li-Ion 1780 mAh battery,"Wi-Fi 802.11 a/b/g/n, dual-band, Wi-Fi Direct","4.0, A2DP, EDR, LE","Yes, with A-GPS",,No,microUSB 2.0,"Accelerometer, proximity, compass",,Black,About 220 EUR,,,Endurance rating 36h,,,,,Noise -82.5dB / Crosstalk -81.1dB,,Up to 9 h (3G),1.34 W/kg (head)     0.67 W/kg (body),Up to 205 h (3G),,,,,,,,,,,,,,,,,
motorola,Motorola XT760,https://cdn2.gsmarena.com/vv/bigpic/Motorola-XT760.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,HDMI port MP3/WAV/AAC+ player MP4/H.264/WMV player Document viewer Photo viewer Organizer Voice memo/dial Predictive text input,HSDPA 900 / 2100,,HSPA,"2012, June. Released 2012, June",Discontinued,120.8 x 64 x 9.9 mm (4.76 x 2.52 x 0.39 in),125 g (4.41 oz),,Mini-SIM,Removable Li-Ion 1650 mAh battery,"TFT capacitive touchscreen, 256K colors","4.0 inches, 44.1 cm2 (~57.1% screen-to-body ratio)","540 x 960 pixels, 16:9 ratio (~275 ppi density)",,Android 2.3 (Gingerbread),,Dual-core 1.0 GHz,,"microSD, up to 32 GB (dedicated slot)","2 GB, 768 MB RAM","8 MP, AF",LED flash,1080p@30fps,VGA,,,Yes,Yes,,"Wi-Fi 802.11 b/g/n, hotspot","2.1, A2DP, EDR","Yes, with A-GPS",,No,microUSB 2.0,"Accelerometer, proximity, compass",,Black,About 150 EUR,,,,,,,,,,,,Up to 215 h,,,,,,,,,,,,,,,,,
motorola,Motorola ATRIX TV XT687,https://cdn2.gsmarena.com/vv/bigpic/motorola-atrix-tv-xt687.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 900 / 1800,HSDPA 850 / 2100,,HSPA 7.2/5.76 Mbps,"2012, May. Released 2012, June",Discontinued,119.8 x 60.5 x 9.9 mm (4.72 x 2.38 x 0.39 in),129.7 g (4.55 oz),,"Dual SIM (Mini-SIM, dual stand-by)",Touch sensitive controls,TFT capacitive touchscreen,"4.0 inches, 44.1 cm2 (~60.8% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~245 ppi density)",,Android 4.0 (Ice Cream Sandwich),Qualcomm MSM7227A-AA Snapdragon S1,1.0 GHz Cortex-A5,Adreno 200,"microSD, up to 32 GB (dedicated slot), 2 GB included","512 MB, 512 MB RAM","8 MP, AF",LED flash,Yes,VGA,,,Yes,Yes,Removable Li-Ion battery,"Wi-Fi 802.11 b/g/n, hotspot","3.0, A2DP, EDR","Yes, with A-GPS",,"Stereo FM radio, RDS",microUSB 2.0,"Accelerometer, proximity, compass",,Dark Grey,About 210 EUR,,,,,XT687,,,,,Up to 10 h (2G) / Up to 6 h (3G),,Up to 500 h (2G) / Up to 400 h (3G),,,,,,,,,,,,,,,,,
motorola,Motorola ATRIX TV XT682,https://cdn2.gsmarena.com/vv/bigpic/motorola-atrix-tv-xt682.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,Touch sensitive controls,HSDPA 850 / 1900 / 2100,,HSPA 7.2/5.76 Mbps,"2012, May. Released 2012, June",Discontinued,119.8 x 60.5 x 9.9 mm (4.72 x 2.38 x 0.39 in),129.7 g (4.55 oz),,Mini-SIM,Mobile TV MP3/WAV/WMA/AAC+ player Divx/MP4/WMV/H.264 player Document viewer Photo viewer/editor Organizer Voice memo/dial Predictive text input,"TFT capacitive touchscreen, 16M colors","4.0 inches, 44.1 cm2 (~60.8% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~245 ppi density)",,Android 2.3.7 (Gingerbread),Qualcomm MSM7227A-AA Snapdragon S1,1.0 GHz Cortex-A5,Adreno 200,"microSD, up to 32 GB (dedicated slot)","1 GB, 512 MB RAM","8 MP, AF",LED flash,Yes,VGA,,,Yes,Yes,Removable Li-Ion 1700 mAh battery,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, DLNA, hotspot","3.0, A2DP, EDR","Yes, with A-GPS",,"Stereo FM radio, RDS",microUSB 2.0,"Accelerometer, proximity, compass",,Black,About 230 EUR,,,,,,,,,,Up to 8 h (2G) / Up to 6 h (3G),,Up to 500 h (2G) / Up to 400 h (3G),,,,,,,,,,,,,,,,,
motorola,Motorola MotoGO TV EX440,https://cdn2.gsmarena.com/vv/bigpic/motorola-motogo-tv.jpg,GSM,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"Dust, dirt and water resistant",,,,"2012, July. Released 2012, July",Discontinued,110.2 x 62 x 12.4 mm (4.34 x 2.44 x 0.49 in),87 g (3.07 oz),,Dual SIM (Mini-SIM),Touch sensitive controls,"TFT capacitive touchscreen, 256K colors","3.2 inches, 31.7 cm2 (~46.4% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio",,,,312 MHz,,"microSD, up to 32 GB (dedicated slot), 2 GB included","128 MB ROM, 50 MB RAM",3.15 MP,,Yes,,,,Yes,Yes,Removable Li-Ion 910 mAh battery,Wi-Fi 802.11 b/g,"2.1, A2DP, EDR",No,,Stereo FM radio,microUSB 2.0,"Accelerometer, proximity",,Black,About 160 EUR,,,,,,,,,,Up to 6 h,,Up to 400 h,,,Yes,Yes,,"Yes, Photocall",Yes,"SMS(threaded view), MMS, Email, IM, Push Email",Yes + downloadable,Yes,Up to 40 h,,,,,,
motorola,Motorola Motosmart Me XT303,https://cdn2.gsmarena.com/vv/bigpic/motorola-motosmart-me-xt303.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 2100,HSDPA 850 / 1900,,HSPA,"2012. Released 2012, Q2",Discontinued,110 x 59.4 x 11.9 mm (4.33 x 2.34 x 0.47 in),107 g (3.77 oz),,Mini-SIM,Touch sensitive controls,"TFT capacitive touchscreen, 256K colors","3.2 inches, 30.5 cm2 (~46.7% screen-to-body ratio)","320 x 480 pixels, 3:2 ratio (~180 ppi density)",,Android 2.3 (Gingerbread),Mediatek MT6573 (65 nm),800 MHz Cortex-A9,PowerVR SGX531,"microSD, up to 32 GB (dedicated slot), 8 GB included","512 MB, 256 MB RAM",2 MP,,Yes,,,,Yes,Yes,Removable Li-Ion 1500 mAh battery,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",,"Stereo FM radio, RDS",microUSB 2.0,"Accelerometer, proximity",,"Black, White",About 160 EUR,,,,,,,,,,Up to 6 h,,Up to 180 h (2G) / Up to 250 h (3G),,,,,,,,,,,,,,,,,
motorola,Motorola MOTOKEY 3-CHIP EX117,https://cdn2.gsmarena.com/vv/bigpic/Motorola-MOTOKEY-3-CHIP.jpg,GSM,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2  & SIM 3,No,,,,"2012, May. Released 2012, June",Discontinued,102 x 59 x 12.8 mm (4.02 x 2.32 x 0.50 in),87 g (3.07 oz),,Triple SIM (Mini-SIM),SNS applications Facebook dedicated key MP3/WAV/AAC+ player MP4/H.264 player Organizer Document viewer Voice memo Predictive text input,"TFT, 256K colors","2.0 inches, 12.6 cm2 (~20.9% screen-to-body ratio)",220 x 176 pixels (~141 ppi density),,,,,,"microSD, up to 32 GB (dedicated slot), 2 GB included","50 MB, 64 MB RAM",2 MP,,Yes,,,,Yes,Yes,Removable Li-Ion 750 mAh battery,No,"2.1, A2DP, EDR",No,,Stereo FM radio,Proprietary,,,"Brown, White",About 70 EUR,,,,,,,,,,Up to 3 h,0.72 W/kg (head)     0.72 W/kg (body),Up to 400 h,,,Class 10,Class 10,QWERTY,"1000 entries, Photocall",Yes,"SMS, MMS, Email, IM",Yes,No,,,,,,,
motorola,Motorola RAZR V XT885,https://cdn2.gsmarena.com/vv/bigpic/motorola-razr-v-xt885-xt886.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,Non-removable Li-Ion 1750 mAh battery,HSDPA 850 / 900 / 1900 / 2100,,HSPA 14.4/5.76 Mbps,"2012, June. Released 2012, June",Discontinued,128.5 x 65.8 x 8.4 mm (5.06 x 2.59 x 0.33 in),125 g (4.41 oz),,Mini-SIM,,"Capacitive touchscreen, 16M colors","4.3 inches, 51.0 cm2 (~60.3% screen-to-body ratio)","540 x 960 pixels, 16:9 ratio (~256 ppi density)",Scratch-resistant glass,Android 4.0.4 (Ice Cream Sandwich),TI OMAP 4430,Dual-core 1.2 GHz,PowerVR SGX540,"microSD, up to 32 GB (dedicated slot)","4 GB, 1 GB RAM","8 MP, AF",LED flash,1080p@30fps,VGA,,,Yes,Yes,,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP, LE","Yes, with A-GPS",,"Stereo FM radio, RDS",microUSB 2.0,"Accelerometer, proximity, compass",,Black,About 210 EUR,,,,,"XT885, XT886",,,,,Up to 9 h 30 min,,Up to 180 h,,,,,,,,,,,,,,,,,
motorola,Motorola RAZR V XT889,https://cdn2.gsmarena.com/vv/bigpic/motorola-razr-v-xt889.jpg,GSM / CDMA / HSPA,GSM 850 / 900 / 1800 / 1900,CDMA 800 / 1900,HSDPA 900 / 2100,,HSPA,"2012, June. Released 2012, June",Discontinued,128.5 x 65.8 x 8.4 mm (5.06 x 2.59 x 0.33 in),125 g (4.41 oz),,Mini-SIM,MP3/WAV/AAC+ player MP4/H.264/WMV player Document viewer Photo editor Organizer Voice memo/dial Predictive text input,"Capacitive touchscreen, 16M colors","4.3 inches, 51.0 cm2 (~60.3% screen-to-body ratio)","540 x 960 pixels, 16:9 ratio (~256 ppi density)",,Android 4.0.4 (Ice Cream Sandwich),TI OMAP 4430,Dual-core 1.2 GHz,PowerVR SGX540,"microSD, up to 32 GB (dedicated slot)","4 GB, 1 GB RAM","8 MP, AF",LED flash,1080p@30fps,VGA,,,Yes,Yes,Non-removable Li-Ion 1780 mAh battery,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP, LE","Yes, with A-GPS",,"Stereo FM radio, RDS",microUSB 2.0,"Accelerometer, proximity, compass",,Black,About 210 EUR,,,,,,,,,,Up to 5 h,,Up to 150 h,,,,,,,,,,,,,,,,,
motorola,Motorola RAZR V MT887,https://cdn2.gsmarena.com/vv/bigpic/motorola-razr-v-mt887.jpg,GSM,GSM 850 / 900 / 1800 / 1900,MP3/WAV/AAC+ player MP4/H.264/WMV player Document viewer Photo editor Organizer Voice memo/dial Predictive text input,TD-SCDMA,,HSPA,"2012, May. Released 2012, June",Discontinued,128.5 x 65.8 x 8.4 mm (5.06 x 2.59 x 0.33 in),125 g (4.41 oz),,Mini-SIM,Non-removable Li-Ion 1750 mAh battery,"Capacitive touchscreen, 16M colors","4.3 inches, 51.0 cm2 (~60.3% screen-to-body ratio)","540 x 960 pixels, 16:9 ratio (~256 ppi density)",,Android 4.0 (Ice Cream Sandwich),,Dual-core 1.2 GHz,,"microSD, up to 32 GB (dedicated slot)",1 GB RAM,"8 MP, AF",LED flash,1080p@30fps,Yes,,,Yes,Yes,,"Wi-Fi 802.11 b/g/n, hotspot",Yes,"Yes, with A-GPS",,"Stereo FM radio, RDS",microUSB 2.0,"Accelerometer, proximity, compass",,Black,About 210 EUR,,,,,,,,,,Up to 14 h,,Up to 240 h,,,Class 12,Class 12,,,,,,,,,,,,,
