Brand,Model Name,Model Image,Technology,2G bands,3G bands,4G bands,Speed,Announced,Status,Dimensions,Weight,SIM,Type,Size,Resolution,OS,Card slot,Internal,Single,Video,Single_1,Video_1,Loudspeaker,3.5mm jack,,WLAN,Bluetooth,GPS,Radio,USB,Sensors,_1,Colors,Protection,Chipset,CPU,GPU,Dual,Features,Features_1,NFC,Models,_1_1,Price,Infrared port,Charging,Stand-by,Talk time,GPRS,EDGE,Build,Music play,Phonebook,Call records,Messaging,Games,Java,SAR EU,Display,Camera,Loudspeaker_1,Audio quality,Battery life,SAR,Keyboard,Browser,Alert types,Clock,Alarm,Languages,Dual_1,Performance,Triple
b'celkon',b'Celkon C570',b'https://cdn2.gsmarena.com/vv/bigpic/celkon-c570.jpg',b'GSM',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',,,,b'2012',b'Discontinued',b'116.5 x 49.5 x 9.8 mm (4.59 x 1.95 x 0.39 in)',b'-',b'Dual SIM (Mini-SIM)',b'TFT',"b'2.4 inches, 17.8 cm2 (~30.9% screen-to-body ratio)'","b'240 x 320 pixels, 4:3 ratio (~167 ppi density)'",,"b'microSD, up to 16 GB (dedicated slot)'",,b'1.3 MP',b'Yes',,,b'Yes',b'Yes',b'No',b'No',b'2.0',b'No',b'FM radio',b'microUSB',b'',b'Audio/video player',b'Black',,,,,,,,,,b'Removable Li-Ion 1000 mAh battery',,,,b'Up to 200 h',b'Up to 6 h',b'Yes',b'No',,,b'500 entries',"b'20 dialed, 20 received, 20 missed calls'","b'SMS, MMS'",b'Yes',b'No',,,,,,,,,,,,,,,,
b'celkon',b'Celkon C504',b'https://cdn2.gsmarena.com/vv/bigpic/celkon-c504.jpg',b'GSM',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',,,,b'2012',b'Discontinued',b'117 x 49 x 13.9 mm (4.61 x 1.93 x 0.55 in)',b'-',b'Dual SIM (Mini-SIM)',b'TFT',"b'2.6 inches, 20.9 cm2 (~36.5% screen-to-body ratio)'","b'240 x 320 pixels, 4:3 ratio (~154 ppi density)'",,"b'microSD, up to 8 GB (dedicated slot)'",,b'2 MP',b'Yes',,,b'Yes',b'No',b'Flashlight',b'No',b'2.0',b'No',b'Stereo FM radio',b'microUSB',b'',b'No',b'Black/Blue',,,,,,,,,,b'Removable Li-Ion 1400 mAh battery',,,,b'Up to 550 h',b'Up to 6 h 40 min',b'Yes',b'No',,,b'500 entries',"b'20 dialed, 20 received, 20 missed calls'","b'SMS, MMS'",b'Yes',b'No',,,,,,,,,,,,,,,,
b'celkon',b'Celkon C206',b'https://cdn2.gsmarena.com/vv/bigpic/celkon-c206.jpg',b'GSM',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',,,,b'2012',b'Discontinued',b'108 x 48 x 16.5 mm (4.25 x 1.89 x 0.65 in)',b'-',b'Dual SIM (Mini-SIM)',b'TFT',"b'1.8 inches, 10.2 cm2 (~19.7% screen-to-body ratio)'",b'176 x 220 pixels (~157 ppi density)',,"b'microSD, up to 8 GB (dedicated slot)'",,b'Yes',b'Yes',,,b'Yes',b'No',b'Flashlight',b'No',b'2.0',b'No',b'Stereo FM radio',b'microUSB',b'',b'No',b'Black/Green',,,,,,,,,,b'Removable Li-Ion 1500 mAh battery',,,,b'Up to 400 h',b'Up to 9 h 20 min',b'No',b'No',,,b'300 entries',"b'20 dialed, 20 received, 20 missed calls'",b'SMS',b'Yes',b'No',,,,,,,,,,,,,,,,
b'celkon',b'Celkon C203',b'https://cdn2.gsmarena.com/vv/bigpic/celkon-c203.jpg',b'GSM',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',,,,b'2012',b'Discontinued',b'107 x 47 x 14.6 mm (4.21 x 1.85 x 0.57 in)',b'-',b'Dual SIM (Mini-SIM)',b'TFT',"b'1.8 inches, 10.2 cm2 (~20.3% screen-to-body ratio)'",b'128 x 160 pixels (~114 ppi density)',,"b'microSD, up to 4 GB (dedicated slot)'",,b'1.3 MP',b'Yes',,,b'Yes',b'No',b'Flashlight',b'No',b'2.0',b'No',b'Stereo FM radio',b'microUSB',b'',b'No',b'Black/Red',,,,,,,,,,b'Removable Li-Ion 1500 mAh battery',,,,b'Up to 550 h',b'Up to 6 h 40 min',b'No',b'No',,,b'500 entries',"b'20 dialed, 20 received, 20 missed calls'",b'SMS',b'Yes',b'No',,,,,,,,,,,,,,,,
b'celkon',b'Celkon C17',b'https://cdn2.gsmarena.com/vv/bigpic/celkon-c17.jpg',b'GSM',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',,,,b'2012',b'Discontinued',b'111 x 49.6 x 14.5 mm (4.37 x 1.95 x 0.57 in)',b'-',b'Dual SIM (Mini-SIM)',b'TFT',"b'2.4 inches, 17.8 cm2 (~32.4% screen-to-body ratio)'","b'240 x 320 pixels, 4:3 ratio (~167 ppi density)'",,"b'microSD, up to 8 GB (dedicated slot)'",,b'Yes',b'Yes',,,b'Yes',b'No',b'Flashlight',b'No',b'2.0',b'No',b'Stereo FM radio',b'microUSB',b'',b'No',b'Black',,,,,,,,,,b'Removable Li-Ion 1000 mAh battery',,,,b'Up to 400 h',b'Up to 6 h',b'No',b'No',,,b'300 entries',"b'20 dialed, 20 received, 20 missed calls'",b'SMS',b'Yes',b'No',,,,,,,,,,,,,,,,
b'celkon',b'Celkon C75',b'https://cdn2.gsmarena.com/vv/bigpic/celkon-c75.jpg',b'GSM',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',,,,b'2012',b'Discontinued',b'110 x 62 x 13 mm (4.33 x 2.44 x 0.51 in)',b'-',b'Dual SIM (Mini-SIM)',b'TFT touchscreen',"b'3.2 inches, 30.5 cm2 (~44.7% screen-to-body ratio)'","b'320 x 480 pixels, 3:2 ratio (~180 ppi density)'",,"b'microSD, up to 8 GB (dedicated slot)'",,b'1.3 MP',b'Yes',,,b'Yes',b'Yes',b'No',b'No',b'2.0',b'No',b'Stereo FM radio',b'microUSB',b'',b'Audio player Video Player King movies Social networking Auto call record',b'Black',,,,,,,,,,b'Removable Li-Ion 1200 mAh battery',,,,b'Up to 400 h',b'Up to 9 h 20 min',b'Yes',b'No',,,b'1000 entries',"b'20 dialed, 20 received, 20 missed calls'","b'SMS, MMS'",b'Yes',b'Yes',,,,,,,,,,,,,,,,
b'celkon',b'Celkon i4',b'https://cdn2.gsmarena.com/vv/bigpic/celkon-i4.jpg',b'GSM',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',,,,b'2012',b'Discontinued',b'112 x 61 x 10 mm (4.41 x 2.40 x 0.39 in)',b'-',b'Dual SIM (Mini-SIM)',b'TFT touchscreen',"b'3.5 inches, 36.5 cm2 (~53.4% screen-to-body ratio)'","b'320 x 480 pixels, 3:2 ratio (~165 ppi density)'",,"b'microSD, up to 32 GB (dedicated slot)'",,b'3 MP',b'Yes',,,b'Yes',b'Yes',b'No',b'No',b'2.0',b'No',b'Stereo FM radio',b'microUSB',b'',b'Audio player Video Player King movies Social networking',b'Black/Silver',,,,,,,,,,b'Li-Ion 1200 mAh battery',,,,b'Up to 400 h',b'Up to 5 h',b'Yes',b'Yes',,,b'1000 entries',"b'20 dialed, 20 received, 20 missed calls'","b'SMS, MMS'",b'Yes',b'Yes',,,,,,,,,,,,,,,,
b'celkon',b'Celkon A7',b'https://cdn2.gsmarena.com/vv/bigpic/celkon-a7.jpg',b'GSM',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',,,,b'2012',b'Discontinued',b'-',b'-',b'Dual SIM (Mini-SIM)',b'TFT touchscreen',"b'3.2 inches, 29.1 cm2'","b'240 x 400 pixels, 5:3 ratio (~146 ppi density)'",,"b'microSD, up to 16 GB (dedicated slot)'",,b'2 MP',b'Yes',,,b'Yes',b'TBD',b'No',b'No',b'Yes',b'No',b'Stereo FM radio',b'Proprietary',b'',b'Audio player Video Player C-Bank King movies Social networking',b'Black',,,,,,,,,,b'Li-Ion 1450 mAh battery',,,,b'Up to 500 h',b'Up to 6 h 40 min',b'Yes',b'No',,,b'2000 entries',"b'20 dialed, 20 received, 20 missed calls'","b'SMS, MMS'",b'Yes',b'Yes',,,,,,,,,,,,,,,,
b'celkon',b'Celkon A88',b'https://cdn2.gsmarena.com/vv/bigpic/celkon-a88.jpg',b'GSM',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'Yes',,,b'2012',b'Discontinued',b'116 x 60.5 x 13.2 mm (4.57 x 2.38 x 0.52 in)',b'-',b'Dual SIM (Mini-SIM)',b'TFT capacitive touchscreen',"b'3.5 inches, 36.5 cm2 (~52.0% screen-to-body ratio)'","b'320 x 480 pixels, 3:2 ratio (~165 ppi density)'",b'Android 2.3.5 (Gingerbread)',"b'microSD, up to 32 GB (dedicated slot)'",,b'3.15 MP',b'Yes',b'Yes',b'',b'Yes',b'Yes',b'MP3/WAV/eAAC player MP4/H.264 player Document viewer Organizer Voice memo/dial Predictive text input',b'Wi-Fi 802.11 b/g',b'2.0',b'Yes',b'Stereo FM radio',b'microUSB',b'Accelerometer',b'Li-Ion 1450 mAh battery',b'Black/Golden',,b'Mediatek MT6513',b'650 MHz Cortex-A9',b'PowerVR SGX531',,,,,,,,,,b'Up to 500 h',b'Up to 6 h 40 min',b'Yes',b'Yes',,,,,,,,,,,,,,,,,,,,,,,
b'celkon',b'Celkon C770 Dj',b'https://cdn2.gsmarena.com/vv/bigpic/celkon-c770-dj.jpg',b'GSM',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'Yes',,,b'2012',b'Discontinued',b'118 x 52 x 12.9 mm (4.65 x 2.05 x 0.51 in)',b'-',b'Dual SIM (Mini-SIM)',b'TFT',"b'2.4 inches, 17.8 cm2 (~29.1% screen-to-body ratio)'","b'240 x 320 pixels, 4:3 ratio (~167 ppi density)'",,"b'microSD, up to 16 GB (dedicated slot)'",,b'2 MP',b'Yes',,,b'Yes',b'Yes',b'Flashlight',b'No',b'2.0',b'No',b'Stereo FM radio',b'microUSB',b'',b'No',b'Black/Red',,,,,,,,,,b'Removable Li-Ion 1350 mAh battery',,,,b'Up to 350 h',b'Up to 9 h 10 min',b'Yes',b'No',,,b'Yes',b'Yes',"b'SMS, MMS'",b'Yes',b'No',,,,,,,,,,,,,,,,
