Brand,Model Name,Model Image,Technology,2G bands,,GPRS,EDGE,Announced,Status,Dimensions,Weight,SIM,Type,Size,Resolution,Card slot,Phonebook,Call records,Internal,_1,Loudspeaker,Alert types,3.5mm jack,WLAN,Bluetooth,GPS,Radio,USB,Sensors,Messaging,Browser,Games,Java,_1_1,Stand-by,Talk time,Colors,Single,Video,Infrared port,3G bands,Speed,Features,Keyboard,OS,CPU,Languages,Single_1,Video_1,Chipset,Clock,Alarm
b'siemens',b'Siemens A60',b'https://cdn2.gsmarena.com/vv/bigpic/sia60.gif',b'GSM',b'GSM 900 / 1800 / 1900',b'Navi key Screensaver',b'Class 8',b'No',"b'2003, Q4'",b'Discontinued',"b'110 x 47 x 23 mm, 91 cc (4.33 x 1.85 x 0.91 in)'",b'85 g (3.00 oz)',b'Mini-SIM',"b'CSTN, 4096 colors'",b'',"b'101 x 80 pixels, 7 lines'",b'No',"b'100 x 2 fields, contact groups'","b'10 dialed, 10 received, 10 missed calls'",b'550 KB',b'No',b'Yes',b'Vibration; Downloadable polyphonic ringtones',b'No',b'No',b'No',b'No',b'No',b'',b'',"b'SMS, EMS'",b'WAP 1.2.1',"b'2 - StackAttack , Mosaic'",b'No',b'Removable Li-Ion 700 mAh battery (EBA-510)',b'Up to 260 h',b'Up to 2 h',b'Stone',,,,,,,,,,,,,,,
b'siemens',b'Siemens SX1',b'https://cdn2.gsmarena.com/vv/bigpic/sisx1.gif',b'GSM',b'GSM 900 / 1800 / 1900',b'Unique keypad arrangement',b'Class 10',b'No',"b'2003, Q3'",b'Discontinued',"b'109 x 56 x 19 mm, 110 cc (4.29 x 2.20 x 0.75 in)'",b'116 g (4.09 oz)',b'Mini-SIM',"b'TFD, 65K colors'","b'2.2 inches, 35 x 44 mm, 15.2 cm2 (~25.0% screen-to-body ratio)'",b'176 x 220 pixels (~128 ppi density)',b'MMC',,,b'16 MB',b'4 MB available',b'No',b'Vibration; Downloadable polyphonic ringtones',b'No',b'No',b'1.1',b'No',b'FM radio',b'Proprietary',b'',,b'WAP 2.0/xHTML',,,b'Removable Li-Ion 1000 mAh battery (EBA-540)',b'Up to 300 h',b'Up to 4 h',b'Ice blue',b'VGA',b'Yes',b'Yes',,,,,"b'Symbian 6.1, Series 60 v1.0 UI'",b'120 MHz ARM9',,,,b'TI OMAP 310',b'Yes',b'Yes'
b'siemens',b'Siemens ST55',b'https://cdn2.gsmarena.com/vv/bigpic/sist55.gif',b'GSM',b'GSM 900 / 1800',b'5-way navi key',b'Class 10',b'No',"b'2003, Q3'",b'Discontinued',b'99 x 47 x 22 mm (3.90 x 1.85 x 0.87 in)',b'87 g (3.07 oz)',b'Mini-SIM',"b'TFT, 65K colors'",b'',"b'120 x 160 pixels, 7 lines, 4:3 ratio'",b'No',b'255 x 15 entries',"b'10 dialed, 20 received, 20 missed calls'",,b'1.2 MB for photos 1.3 MB for MMS 1.1 MB for email messages 100 short messages',b'Yes',b'Vibration; Downloadable polyphonic ringtones',b'No',b'No',b'No',b'No',b'No',b'',b'',"b'SMS, EMS, MMS, Email'",b'WAP 2.0/xHTML',"b'3 - Wacko, Toggle, Tetris + Java'",b'No',b'Removable Li-Ion 750 mAh battery (EBA-595)',b'Up to 140 h',b'Up to 4 h 30 min',b'',b'VGA',b'No',,,,,,,,,,,,b'Yes',b'Yes'
b'siemens',b'Siemens MC60',b'https://cdn2.gsmarena.com/vv/bigpic/simc60.gif',b'GSM',b'GSM 900 / 1800 / 1900',b'Navi key',b'Class 8',b'No',"b'2003, Q3'",b'Discontinued',"b'110 x 46 x 21 mm, 88 cc (4.33 x 1.81 x 0.83 in)'",b'86 g (3.03 oz)',b'Mini-SIM',"b'CSTN, 4096 colors'",b'',"b'101 x 80 pixels, 7 lines'",b'No',"b'50 x 14 fields, 5 contact groups'","b'10 dialed, 10 received, 10 missed calls'",b'1 MB',b'10 voice dial commands 20 voice dial numbers  500 calendar items',b'Yes',"b'Vibration; Downloadable polyphonic ringtones, composer'",b'No',b'No',b'No',b'No',b'No',b'',b'',"b'SMS, EMS, MMS, Email'",b'WAP 1.2.1',b'Yes',b'Yes',b'Removable Li-Ion 700 mAh battery (EBA-510)',b'Up to 250 h',b'Up to 6 h',"b'3 - Aquamarine, Titanium and Grenadine'",b'CIF',b'No',,,,,,,,,,,,b'Yes',b'Yes'
b'siemens',b'Siemens C60',b'https://cdn2.gsmarena.com/vv/bigpic/sic60.gif',b'GSM',b'GSM 900 / 1800 / 1900',b'Navi key',b'Class 8',b'No',"b'2003, Q3'",b'Discontinued',b'110 x 47 x 23 mm (4.33 x 1.85 x 0.91 in)',b'85 g (3.00 oz)',b'Mini-SIM',"b'CSTN, 4096 colors'",b'',"b'101 x 80 pixels, 5 lines'",b'No',"b'100 entries, contact groups'","b'10 dialed, 10 received, 10 missed calls'",b'1.86 MB',b'No',b'Yes',b'Vibration; Downloadable polyphonic ringtones',b'No',b'No',b'No',b'No',b'No',b'',b'',"b'SMS, MMS'",b'WAP 1.2.1',"b'2 - StackAttack 2, Move the Box'",b'Yes',b'Removable Li-Ion 700 mAh battery (EBA-510)',b'Up to 250 h',b'Up to 6 h',"b'3 - Sky, Petrol and Grey'",,,,,,,,,,,,,,b'Yes',b'Yes'
b'siemens',b'Siemens Xelibri 1',b'https://cdn2.gsmarena.com/vv/bigpic/sixel1.gif',b'GSM',b'GSM 900 / 1800',b'Screensaver Downloadable pictures',b'No',b'No',"b'2003, Q2'",b'Discontinued',"b'101 x 46 x 19 mm, 72 cc (3.98 x 1.81 x 0.75 in)'",b'73 g (2.57 oz)',b'Mini-SIM',b'Monochrome graphic',b'',b'101 x 64 pixels',b'No',b'100',"b'10 dialed, 10 received, 10 missed calls'",,b'Predefined short messages',b'No',b'Vibration; Downloadable polyphonic ringtones',b'No',b'No',b'No',b'No',b'No',b'',b'',"b'SMS, EMS'",b'',b'No',b'No',b'Removable Li-Ion 610 mAh battery',b'Up to 200 h',b'Up to 4 h',b'',,,,,,,,,,,,,,,
b'siemens',b'Siemens Xelibri 2',b'https://cdn2.gsmarena.com/vv/bigpic/sixel2.gif',b'GSM',b'GSM 900 / 1800',b'Screensaver Downloadable pictures',b'No',b'No',"b'2003, Q2'",b'Discontinued',"b'99 x 56 x 20 mm, 78 cc (3.90 x 2.20 x 0.79 in)'",b'73 g (2.57 oz)',b'Mini-SIM',b'Monochrome graphic',b'',"b'101 x 65 pixels, 5 lines'",b'No',b'100',"b'10 dialed, 10 received, 10 missed calls'",,b'Predefined short messages',b'No',b'Vibration; Downloadable polyphonic ringtones',b'No',b'No',b'No',b'No',b'No',b'',b'',"b'SMS, EMS'",b'',b'No',b'No',b'Removable Li-Ion 650 mAh battery',b'Up to 200 h',b'Up to 4 h',b'',,,,,,,,,,,,,,,
b'siemens',b'Siemens Xelibri 3',b'https://cdn2.gsmarena.com/vv/bigpic/sixel3.gif',b'GSM',b'GSM 900 / 1800',b'Screensaver Downloadable pictures Digit dial with Navi key',b'No',b'No',"b'2003, Q2'",b'Discontinued',"b'74 x 43 x 20 mm, 48 cc (2.91 x 1.69 x 0.79 in)'",b'55 g (1.94 oz)',b'Mini-SIM',b'Monochrome graphic',b'',"b'101 x 56 pixels, 5 lines, 17:9 ratio'",b'No',b'100',"b'10 dialed, 10 received, 10 missed calls'",,b'Predefined short messages',b'No',b'Vibration; Downloadable monophonic ringtones',b'No',b'No',b'No',b'No',b'No',b'',b'',"b'SMS, EMS'",b'',b'No',b'No',b'Removable Li-Ion 620 mAh battery',b'Up to 300 h',b'Up to 4 h',b'',,,,,,,,,,,,,,,
b'siemens',b'Siemens Xelibri 4',b'https://cdn2.gsmarena.com/vv/bigpic/sixel4.gif',b'GSM',b'GSM 900 / 1800',b'Screensaver Downloadable pictures',b'No',b'No',"b'2003, Q2'",b'Discontinued',"b'99 x 53 x 19 mm, 70 cc (3.90 x 2.09 x 0.75 in)'",b'71 g (2.50 oz)',b'Mini-SIM',b'Monochrome graphic',b'',"b'101 x 65 pixels, 5 lines'",b'No',b'100',"b'10 dialed, 10 received, 10 missed calls'",,b'Predefined short messages',b'No',b'Vibration; Downloadable polyphonic ringtones',b'No',b'No',b'No',b'No',b'No',b'',b'',"b'SMS, EMS'",b'',b'No',b'No',b'Removable Li-Ion 650 mAh battery',b'Up to 200 h',b'Up to 4 h',b'',,,,,,,,,,,,,,,
b'siemens',b'Siemens U10',b'https://cdn2.gsmarena.com/vv/bigpic/siu10.gif',b'GSM / UMTS',b'GSM 900 / 1800 / 1900',b'No',,,b'2003',b'Discontinued',"b'154 x 55 x 29 mm, 173 cc (6.06 x 2.17 x 1.14 in)'",b'184 g (6.49 oz)',b'Mini-SIM',"b'TFT, 4096 colors'",b'',b'176 x 220 pixels',"b'MMC/SD, 32 MB SD included'",b'500',b'Yes',b'2 MB',b'MP3/MP4 player Predictive text input Organizer Voice memo Voice dial',b'Yes',b'Vibration; Downloadable monophonic ringtones',b'No',b'No',b'Yes',b'No',b'No',b'Proprietary',b'',"b'SMS, EMS, MMS, Email'",b'WAP 2.0/xHTML',b'Yes',b'Yes',b'Removable Li-Po 800 mAh battery (EBA-010)',b'Up to 120 h',b'Up to 1 h 20 min',b'Titanium',b'VGA',b'No',b'Yes',b'UMTS 2100',"b'Yes, 384 kbps'",,,,,,,,,,
