Brand,Model Name,Model Image,Technology,2G bands,3G bands,4G bands,Speed,Announced,Status,Dimensions,Weight,SIM,Type,Size,Resolution,OS,Card slot,Internal,Single,Video,Single_1,Video_1,Loudspeaker,3.5mm jack,,WLAN,Bluetooth,GPS,Radio,USB,Sensors,_1,Colors,Protection,Chipset,CPU,GPU,Dual,Features,Features_1,NFC,Models,_1_1,Price,Infrared port,Charging,Stand-by,Talk time,GPRS,EDGE,Build,Music play,Phonebook,Call records,Messaging,Games,Java,SAR EU,Display,Camera,Loudspeaker_1,Audio quality,Battery life,SAR,Keyboard,Browser,Alert types,Clock,Alarm,Languages,Dual_1,Performance,Triple,5G,Quad,Dual or Triple,Five
b'nvidia',b'Nvidia Shield K1',b'https://cdn2.gsmarena.com/vv/bigpic/nvidia-shield-tablet-k1.jpg',b'No cellular connectivity',b'N/A',,,,"b'2015, November'","b'Available. Released 2015, November'",b'221 x 126 x 9.2 mm (8.70 x 4.96 x 0.36 in)',b'356 g (12.56 oz)',b'No',"b'IPS LCD capacitive touchscreen, 16M colors'","b'8.0 inches, 185.6 cm2 (~66.6% screen-to-body ratio)'","b'1920 x 1200 pixels, 16:10 ratio (~283 ppi density)'","b'Android 5.0 (Lollipop), upgradable to 7.0 (Nougat)'","b'microSD, up to 256 GB (dedicated slot)'","b'16 GB, 2 GB RAM'","b'5 MP, AF'",b'Yes',b'5 MP',b'',"b'Yes, with stereo speakers'",b'Yes',b'Stylus',"b'Wi-Fi 802.11 a/b/g/n, dual-band'","b'4.0, A2DP, LE'","b'Yes, with A-GPS, GLONASS'",b'No',b'microUSB 2.0',"b'Accelerometer, gyro, compass'",b'Dual bass reflex port',b'Black',,b'Nvidia Tegra K1',b'Quad-core 2.2 GHz Cortex-A15',b'ULP GeForce Kepler (192 cores)',,b'HDR',b'HDR',,,b'Non-removable Li-Ion 5200 mAh battery (19.75 Wh)',b'About 200 EUR',,,,,b'No',b'No',,,,,,,,,,,,,,,,,,,,,,,,,,,
b'nvidia',b'Nvidia Shield LTE',b'https://cdn2.gsmarena.com/vv/bigpic/nvidia-shield.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - all versions',b'HSDPA 850 / 1700 / 1900 / 2100 - North America',"b'LTE band 2(1900), 4(1700/2100), 5(850), 7(2600), 17(700) - North America'","b'HSPA, LTE'","b'2014, July'","b'Available. Released 2014, September'",b'221 x 126 x 9.2 mm (8.70 x 4.96 x 0.36 in)',b'390 g (13.76 oz)',b'Micro-SIM',"b'Capacitive touchscreen, 16M colors'","b'8.0 inches, 185.6 cm2 (~66.6% screen-to-body ratio)'","b'1920 x 1200 pixels, 16:10 ratio (~283 ppi density)'","b'Android 4.4.2 (KitKat), upgradable to 4.4.4 (KitKat)'",b'microSD (dedicated slot)',"b'32 GB, 2 GB RAM'","b'5 MP, AF'",b'Yes',b'5 MP',b'',"b'Yes, with stereo speakers'",b'Yes',b'HSDPA 850 / 900 / 1900 / 2100',"b'Wi-Fi 802.11 a/b/g/n, dual-band, hotspot'","b'4.0, A2DP, LE'","b'Yes, with A-GPS, GLONASS'",b'No',b'microUSB 2.0',"b'Accelerometer, gyro, compass'","b'LTE band 1(2100), 3(1800), 7(2600), 20(800)'",b'Black',,b'Nvidia Tegra K1',b'Quad-core 2.2 GHz Cortex-A15',b'ULP GeForce Kepler (192 cores)',,b'HDR',b'HDR',,,b'Non-removable Li-Ion 5400 mAh battery (19.75 Wh)',b'About 300 EUR',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'nvidia',b'Nvidia Shield',b'https://cdn2.gsmarena.com/vv/bigpic/nvidia-shield.jpg',b'No cellular connectivity',b'N/A',,,,"b'2014, July'","b'Available. Released 2014, July'",b'221 x 126 x 9.2 mm (8.70 x 4.96 x 0.36 in)',b'390 g (13.76 oz)',b'No',"b'Capacitive touchscreen, 16M colors'","b'8.0 inches, 185.6 cm2 (~66.6% screen-to-body ratio)'","b'1920 x 1200 pixels, 16:10 ratio (~283 ppi density)'","b'Android 4.4.2 (KitKat), upgradable to 7.0 (Nougat)'",b'microSD (dedicated slot)',"b'16 GB, 2 GB RAM'","b'5 MP, AF'",b'Yes',b'5 MP',b'',"b'Yes, with stereo speakers'",b'Yes',b'Stylus',"b'Wi-Fi 802.11 a/b/g/n, dual-band'","b'4.0, A2DP, LE'",b'Yes',b'No',b'microUSB 2.0',"b'Accelerometer, gyro, compass'",b'Dual bass reflex port',b'Black',,b'Nvidia Tegra K1',b'Quad-core 2.2 GHz Cortex-A15',b'ULP GeForce Kepler (192 cores)',,b'HDR',b'HDR',,,b'Non-removable Li-Ion 5400 mAh battery (19.75 Wh)',b'About 230 EUR',,,,,b'No',b'No',,,,,,,,,,,,,,,,,,,,,,,,,,,
