Brand,Model Name,Model Image,Technology,2G bands,3G bands,Speed,Announced,Status,Dimensions,Weight,SIM,Type,Size,Resolution,OS,CPU,Card slot,Internal,Single,Features,Video,Single_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,Radio,USB,Sensors,,Stand-by,Talk time,Colors,4G bands,Chipset,GPU,_1,Price,_1_1,NFC,Music play,Protection,GPRS,EDGE,Phonebook,Call records,Messaging,Games,Java,Keyboard,Browser,Infrared port,SAR EU,SAR,Alert types,Languages,Clock,Alarm,Charging,Features_1,Models,Build,Dual,Performance,Display,Camera,Loudspeaker_1,Audio quality,Battery life
b'razer',b'Razer Phone 2',b'https://cdn2.gsmarena.com/vv/bigpic/razer-phone2-.jpg',b'GSM / CDMA / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900',b'HSDPA 850 / 900 / 1700(AWS) / 1800 / 1900 / 2100',"b'HSPA 42.2/5.76 Mbps, LTE-A (5CA) Cat18 1200/150 Mbps'","b'2018, October'","b'Available. Released 2018, October'",b'158.5 x 79 x 8.5 mm (6.24 x 3.11 x 0.33 in)',b'220 g (7.76 oz)',b'Nano-SIM',"b'IGZO IPS LCD capacitive touchscreen, 16M colors'","b'5.72 inches, 90.2 cm2 (~72.0% screen-to-body ratio)'","b'1440 x 2560 pixels, 16:9 ratio (~513 ppi density)'","b'Android 8.1 (Oreo), planned upgrade to Android 9.0 (Pie)'",b'Octa-core (4x2.8 GHz Kryo 385 Gold & 4x1.7 GHz Kryo 385 Silver)',"b'microSD, up to 1 TB (dedicated slot)'","b'64 GB, 8 GB RAM'","b'8 MP, f/2.0'","b'Dual-LED dual-tone flash, panorama, HDR'","b'2160p@30/60fps, 1080p@30/30/60/120fps, stereo sound rec.'",,b'1080p@30/60fps',"b'Yes, with Dolby Atmos stereo speakers (THX-certified amplifiers)'",b'No',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS'",b'No',b'Type-C 1.0 reversible connector',"b'Fingerprint (side-mounted), accelerometer, gyro, proximity, compass'",b'CDMA 800 & TD-SCDMA',,,"b'Mirror back, Rugged satin'","b'LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 12(700), 13(700), 14(700), 17(700), 18(800), 19(800), 20(800), 26(850), 28(700), 29(700), 30(2300), 32(1500), 38(2600), 39(1900), 40(2300), 41(2500), 48, 66(1700/2100), 71(600)'",b'Qualcomm SDM845 Snapdragon 845 (10 nm)',b'Adreno 630',b'IP67 dust/water resistant (up to 1m for 30 mins) RGB Illuminated Razer Chroma Logo on the back',b'About 850 EUR',b'Non-removable Li-Po 4000 mAh battery',b'Yes',,"b'Corning Gorilla Glass 5, oleophobic coating'",,,,,,,,,,,,,,,,,b'Fast battery charging 18W (Quick Charge 4+) Fast wireless charging 15W',,b'Phone 2',"b'Front glass, aluminum body'","b'12 MP, f/1.8, 25mm (wide), 1/2.55"", 1.4\xc2\xb5m, dual pixel PDAF, OIS 12 MP, f/2.6, 1/3.1"", 1.0\xc2\xb5m, 2x optical zoom'",b'Basemark OS II: 4789 / Basemark OS II 2.0: 4163Basemark X: 54750',"b'Contrast ratio: 948 (nominal), 2.932 (sunlight)'",b'Photo / Video',b'Voice 78dB / Noise 78dB / Ring 86dB',b'Noise -93.4dB / Crosstalk -92.8dB',b'Endurance rating 70h'
b'razer',b'Razer Phone',b'https://cdn2.gsmarena.com/vv/bigpic/razer-phone.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900',b'HSDPA 850 / 900 / 1700(AWS) / 1800 / 1900 / 2100',"b'HSPA, LTE'","b'2017, November'","b'Available. Released 2017, November'",b'158.5 x 77.7 x 8 mm (6.24 x 3.06 x 0.31 in)',b'197 g (6.95 oz)',b'Nano-SIM',"b'IGZO IPS LCD capacitive touchscreen, 16M colors'","b'5.7 inches, 89.6 cm2 (~72.7% screen-to-body ratio)'","b'1440 x 2560 pixels, 16:9 ratio (~515 ppi density)'","b'Android 7.1.1 (Nougat), upgradable to Android 8.1 (Oreo)'",b'Octa-core (4x2.35 GHz Kryo & 4x1.9 GHz Kryo)',"b'microSD, up to 1 TB (dedicated slot)'","b'64 GB, 8 GB RAM'","b'8 MP, f/2.0'","b'Dual-LED dual-tone flash, panorama, HDR'",b'2160p@30fps',,b'1080p@30fps',"b'Yes, with Dolby Atmos stereo speakers (THX-certified amplifiers)'",b'No',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'4.2, A2DP, LE'","b'Yes, with A-GPS'",b'No',b'Type-C 1.0 reversible connector',"b'Fingerprint (side-mounted), accelerometer, gyro, proximity, compass'",b'Wide Colour Gamut 120 Hz 380 nits',,,b'Black',"b'LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 12(700), 17(700), 19(800), 20(800), 25(1900), 26(850), 28(700), 29(700), 30(2300), 38(2600), 39(1900), 40(2300), 41(2500), 66(1700/2100)'",b'Qualcomm MSM8998 Snapdragon 835 (10 nm)',b'Adreno 540',b'24-bit/192kHz audio Active noise cancellation with dedicated mic',b'About 750 EUR',b'Non-removable Li-Po 4000 mAh battery',b'Yes',,b'Corning Gorilla Glass 3',,,,,,,,,,,,,,,,,b'Fast battery charging 18W (Quick Charge 4+)',,,b'Aluminum body',"b'12 MP, f/1.8, 25mm (wide), 1/2.6"", 1.4\xc2\xb5m, Dual pixel PDAF 12 MP, f/2.6, 1/3.4"", 1.0\xc2\xb5m, 2x optical zoom,  PDAF'",b'Basemark OS II: 4182 / Basemark OS II 2.0: 3492Basemark X: 51455',"b'Contrast ratio: 871 (nominal), 2.328 (sunlight)'",b'Photo / Video',b'Voice 69dB / Noise 75dB / Ring 90dB',b'Noise -80.3dB / Crosstalk -75.3dB',b'Endurance rating 62h'
