Brand,Model Name,Model Image,Technology,2G bands,3G bands,4G bands,Speed,Announced,Status,Dimensions,Weight,SIM,Type,Size,Resolution,OS,Card slot,Internal,Single,Video,Single_1,Video_1,Loudspeaker,3.5mm jack,,WLAN,Bluetooth,GPS,Radio,USB,Sensors,_1,Colors,Protection,Chipset,CPU,GPU,Dual,Features,Features_1,NFC,Models,_1_1,Price,Infrared port,Charging,Stand-by,Talk time,GPRS,EDGE,Build,Music play,Phonebook,Call records,Messaging,Games,Java,SAR EU,Display,Camera,Loudspeaker_1,Audio quality,Battery life,SAR,Keyboard,Browser,Alert types,Clock,Alarm,Languages,Dual_1,Performance,Triple,5G
b'fujitsu_siemens',b'Fujitsu Siemens T830',b'https://cdn2.gsmarena.com/vv/bigpic/fs-t810.gif',b'GSM / UMTS',b'GSM 900 / 1800 / 1900',b'UMTS 2100',,"b'Yes, 384 kbps'","b'2006, August'",b'Discontinued',b'126 x 64 x 21 mm (4.96 x 2.52 x 0.83 in)',b'190 g (6.70 oz)',b'Mini-SIM',"b'TFT resistive touchscreen, 65K colors'","b'2.4 inches, 18.6 cm2 (~23.0% screen-to-body ratio)'","b'240 x 240 pixels, 1:1 ratio (~141 ppi density)'",b'Microsoft Windows Mobile 5.0 Phone Edition',b'SD',"b'64 MB RAM, 128 MB ROM'","b'2 MP, AF'",b'Yes',b'VGA videocall camera',b'',b'Yes',b'No',b'5-way navigation key',b'Wi-Fi 802.11b/g',b'2.0',"b'Yes, SiRF GCS3F receiver'",b'No',b'Proprietary',b'',b'SiRF GCS3F receiver Video telephony Pocket Office  MP3/AAC/AAC+/WMA/OGG/AMR player WMV/MP4 player Organizer Voice memo',b'Silver',,,b'Intel PXA272 416 MHz',,,,,,,b'Removable Li-Ion 1500 mAh battery',,,,b'Up to 150 h',b'Up to 4 h',,,,,,,,,,,,,,,,,b'QWERTY',b'HTML (PocketIE)',"b'Vibration; Downloadable polyphonic, MP3 ringtones'",,,,,,,
b'fujitsu_siemens',b'Fujitsu Siemens T810',b'https://cdn2.gsmarena.com/vv/bigpic/fs-t810.gif',b'GSM / UMTS',b'GSM 900 / 1800 / 1900',b'UMTS 2100',,"b'Yes, 384 kbps'","b'2006, August'",b'Discontinued',b'126 x 64 x 21 mm (4.96 x 2.52 x 0.83 in)',b'190 g (6.70 oz)',b'Mini-SIM',"b'TFT resistive touchscreen, 65K colors'","b'2.4 inches, 18.6 cm2 (~23.0% screen-to-body ratio)'","b'240 x 240 pixels, 1:1 ratio (~141 ppi density)'",b'Microsoft Windows Mobile 5.0 Phone Edition',b'SD',"b'64 MB RAM, 128 MB ROM'",b'Yes',b'',,,b'Yes',b'No',b'5-way navigation key',b'Wi-Fi 802.11b/g',b'2.0',"b'Yes, SiRF GCS3F receiver'",b'No',b'Proprietary',b'',b'No',b'Silver',,,b'Intel PXA272 416 MHz',,,,,,,b'Removable Li-Ion 1500 mAh battery',,,,b'Up to 150 h',b'Up to 4 h',,,,,,,,,,,,,,,,,b'QWERTY',b'HTML (PocketIE)',"b'Vibration; Downloadable polyphonic, MP3 ringtones'",,,,,,,
