Brand,Model Name,Model Image,Technology,2G bands,,GPRS,EDGE,Announced,Status,Dimensions,Weight,SIM,Type,Size,Resolution,Card slot,Phonebook,Call records,Internal,_1,Loudspeaker,Alert types,3.5mm jack,WLAN,Bluetooth,GPS,Radio,USB,Sensors,Messaging,Browser,Games,Java,_1_1,Stand-by,Talk time,Colors,Single,Video,Infrared port,3G bands,Speed,Features,Keyboard,OS,CPU,Languages,Single_1,Video_1,Chipset,Clock,Alarm,4G bands,Protection,GPU,NFC,Charging,Music play,Price,Loudspeaker_1,Build,Triple,Features_1,Performance,Display,Camera,Audio quality,Battery life,Dual,Models,SAR,SAR EU,Dual_1,5G
b'zte',b'ZTE N280',b'https://cdn2.gsmarena.com/vv/bigpic/zte-n280.jpg',b'GSM',b'GSM 900 / 1800 - SIM 1',b'GSM 900 / 1800 - SIM 2',b'Yes',b'No',b'2010. Released 2010',b'Discontinued',b'113 x 56 x 14 mm (4.45 x 2.20 x 0.55 in)',b'130 g (4.59 oz)',b'Dual SIM (Mini-SIM)',"b'TFT resistive touchscreen, 256K colors'","b'2.8 inches, 24.3 cm2 (~38.4% screen-to-body ratio)'","b'240 x 320 pixels, 4:3 ratio (~143 ppi density)'",b'microSD (dedicated slot)',"b'Yes, Photocall'",b'Yes',b'32 MB',b'No',b'Yes',,b'No',b'No',"b'2.0, A2DP'",b'No',b'No',b'Proprietary',b'',b'SMS',b'WAP 2.0',b'Yes',b'Yes',b'Removable Li-Ion battery',b'Up to 360 h',b'Up to 5 h',b'Black',b'VGA',b'176x144',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'zte',b'ZTE R230',b'https://cdn2.gsmarena.com/vv/bigpic/zte-r230.jpg',b'GSM',b'GSM 900 / 1800 / 1900',b'GSM 850 / 1800 / 1900',b'Yes',b'No',b'2010. Released 2010',b'Discontinued',b'108 x 46 x 13 mm (4.25 x 1.81 x 0.51 in)',b'80 g (2.82 oz)',b'Mini-SIM',"b'TFT, 65K colors'","b'1.8 inches, 10.2 cm2 (~20.5% screen-to-body ratio)'",b'176 x 220 pixels (~157 ppi density)',"b'microSD, up to 8 GB (dedicated slot)'",b'Yes',b'Yes',b'10 MB',b'No',b'Yes',,b'No',b'No',"b'2.0, A2DP (R230BT model only)'",b'No',b'FM radio',b'Proprietary',b'',"b'SMS, MMS'",,b'Yes',"b'Yes, MIDP 2.0'",b'Removable Li-Ion 720 mAh battery',b'Up to 300 h',b'Up to 4 h 30 min',b'Black',b'1.3 MP',b'Yes',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'zte',b'ZTE R228 Dual SIM',b'https://cdn2.gsmarena.com/vv/bigpic/ZTE-G-R228.jpg',b'GSM',b'GSM 900 / 1800 - SIM 1 & SIM 2',b'GSM 850 / 1900 - SIM 1 & SIM 2',b'Yes',b'No',"b'2011, May'",b'Discontinued',b'108 x 46 x 11.7 mm (4.25 x 1.81 x 0.46 in)',b'80 g (2.82 oz)',b'Dual SIM (Mini-SIM)',b'TFT',"b'2.0 inches, 12.6 cm2 (~25.3% screen-to-body ratio)'",b'176 x 220 pixels (~141 ppi density)',"b'microSD, up to 8 GB (dedicated slot)'",b'500 entries',b'Yes',b'2 MB',b'No',b'Yes',,b'No',b'No',b'2.0',b'No',b'Stereo FM radio',b'microUSB',b'',b'SMS',,b'No',b'No',b'Removable Li-Ion 1000 mAh battery',b'Up to 400 h',b'Up to 5 h',"b'Black, Pink'",b'1.3 MP',b'No',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'zte',b'ZTE R228',b'https://cdn2.gsmarena.com/vv/bigpic/ZTE-G-R228.jpg',b'GSM',b'GSM 900 / 1800',b'GSM 850 / 1900',b'Yes',b'No',"b'2011, May'",b'Discontinued',b'108 x 46 x 11 mm (4.25 x 1.81 x 0.43 in)',b'67 g (2.36 oz)',b'Mini-SIM',b'TFT',"b'2.0 inches, 12.6 cm2 (~25.3% screen-to-body ratio)'",b'176 x 220 pixels (~141 ppi density)',"b'microSD, up to 8 GB (dedicated slot)'",b'500 entries',b'Yes',b'2 MB',b'No',b'Yes',,b'No',b'No',b'Yes',b'No',b'Stereo FM radio',b'Proprietary',b'',b'SMS',,b'No',b'No',b'Removable Li-Ion 700 mAh battery',b'Up to 300 h',b'Up to 4 h 10 min',"b'Black, Pink'",b'1.3 MP',b'No',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'zte',b'ZTE R221',b'https://cdn2.gsmarena.com/vv/bigpic/zte-r221.jpg',b'GSM',b'GSM 900 / 1800 - SIM 1',b'GSM 900 / 1800 - SIM 2',b'Class 12',b'No',b'2010. Released 2010',b'Discontinued',b'108 x 47 x 14 mm (4.25 x 1.85 x 0.55 in)',b'80 g (2.82 oz)',b'Dual SIM (Mini-SIM)',"b'TFT, 65K colors'","b'1.8 inches, 10.2 cm2 (~20.1% screen-to-body ratio)'",b'128 x 160 pixels (~114 ppi density)',"b'microSD, up to 2 GB (dedicated slot)'",b'500 entries',b'Yes',b'5 MB',b'No',b'Yes',,b'No',b'No',b'No',b'No',b'FM radio',b'No',b'',b'SMS',b'No',b'Yes',b'No',b'Removable Li-Ion 1000 mAh battery',b'Up to 280 h',b'Up to 9 h',b'Black',b'VGA',b'No',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'zte',b'ZTE R220',b'https://cdn2.gsmarena.com/vv/bigpic/zte-r220.jpg',b'GSM',b'GSM 900 / 1800',b'No',b'Up to 115 kbps',b'No',b'2009. Released 2009',b'Discontinued',b'107 x 45.5 x 12.5 mm (4.21 x 1.79 x 0.49 in)',b'80 g (2.82 oz)',b'Mini-SIM',"b'TFT, 65K colors'","b'1.8 inches, 10.2 cm2 (~20.9% screen-to-body ratio)'",b'128 x 160 pixels (~114 ppi density)',"b'microSD, up to 8 GB (dedicated slot)'",b'Yes',b'Yes',b'10 MB',b'MP3 player Organizer Predictive text input',b'Yes',,b'No',b'No',b'Yes',b'No',b'FM radio',b'Proprietary',b'',"b'SMS, MMS'",,b'Yes',b'No',b'Removable Li-Ion 720 mAh battery',,,b'Black',b'VGA',b'No',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'zte',b'ZTE S213',b'https://cdn2.gsmarena.com/vv/bigpic/zte-s213.jpg',b'GSM',b'GSM 900 / 1800 - SIM 1',b'GSM 900 / 1800 - SIM 2',b'No',b'No',"b'2010, October. Released 2010, October'",b'Discontinued',b'107 x 45 x 13.3 mm (4.21 x 1.77 x 0.52 in)',b'95 g (3.35 oz)',b'Dual SIM (Mini-SIM)',"b'CSTN, 65K colors'","b'1.5 inches, 7.3 cm2 (~15.1% screen-to-body ratio)'","b'128 x 128 pixels, 1:1 ratio (~121 ppi density)'","b'microSD, up to 2 GB (dedicated slot)'",b'500 entries',b'Yes',b'64 MB',b'No',b'Yes',,b'No',b'No',b'No',b'No',b'FM radio',b'No',b'',b'SMS',b'No',b'Yes',"b'Yes, MIDP 2.0'",b'Removable Li-Ion 650 mAh battery',,b'Up to 13 h',"b'Red, Black, Pink'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'zte',b'ZTE Salute F350',b'https://cdn2.gsmarena.com/vv/bigpic/verizon-wireless-salute.jpg',b'CDMA / EVDO',b'CDMA 800 / 1900',b'No',,,"b'2010, August. Released 2010, August'",b'Discontinued',b'102 x 51 x 15 mm (4.02 x 2.01 x 0.59 in)',b'112 g (3.95 oz)',b'Mini-SIM',"b'TFT, 65K colors'","b'2.4 inches, 17.8 cm2 (~34.3% screen-to-body ratio)'","b'240 x 320 pixels, 4:3 ratio (~167 ppi density)'",b'microSD (dedicated slot)',"b'1000 entries, Photocall'",b'Yes',,b'2.5 mm audio jack',b'Yes',,b'No',b'No',"b'2.0, A2DP'",b'A-GPS only; VZ Navigator',b'No',b'microUSB 2.0',b'',"b'SMS, MMS, Email, IM'","b'WAP 2.0/xHTML, HTML'",b'Yes',"b'Yes, MIDP 2.0'",b'Removable Li-Ion battery',b'Up to 220 h',b'Up to 4 h',b'Black',b'1.3 MP',b'Yes',,b'CDMA2000 1xEV-DO',"b'Yes, 384 kbps'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'zte',b'ZTE F107',b'https://cdn2.gsmarena.com/vv/bigpic/zte-f107.jpg',b'GSM / UMTS',b'GSM 900 / 1800 / 1900',b'No',,,b'2010. Released 2010',b'Discontinued',b'105.7 x 46 x 12.6 mm (4.16 x 1.81 x 0.50 in)',b'90 g (3.17 oz)',b'Mini-SIM',"b'TFT, 65K colors'","b'2.0 inches, 12.6 cm2 (~25.9% screen-to-body ratio)'",b'176 x 220 pixels (~141 ppi density)',"b'microSD, up to 8 GB (dedicated slot)'","b'Yes, Photocall'",b'Yes',b'35 MB',"b'Skype, Windows life messenger apps Organizer MP3/WAV/AAC player Voice memo Predictive text input'",b'Yes',,b'No',b'No',"b'2.1, A2DP'",b'No',b'No',b'2.0',b'',"b'SMS, MMS'",b'WAP 2.0/xHTML',b'Yes + downloadable',"b'Yes, MIDP 2.0'",b'Removable Li-Ion battery',b'Up to 220 h',b'Up to 3 h 30 min',b'Black',b'2 MP',b'Yes',,b'UMTS 2100',"b'Yes, 384 kbps'",,,,,,,,,,,,,,,,,b'About 60 EUR',,,,,,,,,,,,,,,
b'zte',b'ZTE E N72',b'https://cdn2.gsmarena.com/vv/bigpic/ZTE-E-N72.jpg',b'CDMA / EVDO',b'CDMA 800 / 1900',b'No',,,"b'2010, August. Released 2010, August'",b'Discontinued',b'114 x 66 x 11.9 mm (4.49 x 2.60 x 0.47 in)',b'130 g (4.59 oz)',b'Mini-SIM',"b'TFT resistive touchscreen, 256K colors'","b'2.5 inches, 19.4 cm2 (~25.7% screen-to-body ratio)'","b'320 x 240 pixels, 4:3 ratio (~160 ppi density)'","b'microSD, up to 8 GB (dedicated slot)'",,,b'100 MB',b'MP3/WMA/eAAC+ player MP4/H.264 player Document viewer Organizer Voice memo Predictive text input',b'Yes',,b'No',b'No',"b'2.0, A2DP'",b'No',b'No',b'microUSB 2.0',b'',,"b'WAP 2.0/xHTML, HTML'",,,b'Removable Li-Ion 1300 mAh battery',b'Up to 200 h',b'Up to 4 h',b'Black',"b'3.15 MP, AF'",b'Yes',,b'CDMA2000 1xEV-DO',b'HSPA',b'LED flash',b'QWERTY',b'Microsoft Windows Mobile Professional',,,,,,,,,,,,,,,,,,,,,,,,,,,,,
